user_id,tenure_days,plan,primary_device,region,age_group,bundle_type,num_services,sessions_last_30d,active_days_last_30d,watch_time_last_30d,avg_session_duration_min,completion_rate,skip_rate,content_diversity_score,feature_usage_score,search_activity_last_30d,watchlist_additions_last_30d,days_since_last_session,sessions_per_active_day,watch_time_per_active_day,searches_per_session,watchlist_additions_per_session,will_churn_30d,signup_date,behavioral_segment,churn_probability,churn_date
U000061,678,premium,desktop,LATAM,25_34,bundle,4,20,9,912.95,52.48,0.9713,0.01,0.8043,0.8026,14,3,3,2.2222,101.4389,0.7,0.15,0,2023-08-23,power,0.000442,
U000062,349,individual,mobile,LATAM,35_44,standalone,3,11,7,435.89,34.62,0.7021,0.5276,0.6265,0.8602,5,4,5,1.5714,62.27,0.4545,0.3636,0,2024-07-17,casual,0.015511,
U000063,872,student,mobile,APAC,25_34,standalone,4,26,10,1100.98,39.41,0.7862,0.3156,0.6905,0.5571,8,4,0,2.6,110.098,0.3077,0.1538,0,2023-02-10,power,0.000669,
U000064,387,individual,tv,EU,35_44,standalone,3,2,5,81.02,49.91,0.4128,0.5951,0.4463,0.3527,4,0,44,0.4,16.204,2.0,0.0,1,2024-06-09,at_risk,0.896351,2025-07-16
U000065,313,family,tv,US,55_plus,standalone,3,14,7,1061.6,72.04,0.7746,0.3791,0.8606,0.6953,8,4,4,2.0,151.6571,0.5714,0.2857,0,2024-08-22,casual,0.002891,
U000066,818,family,mobile,US,18_24,bundle,3,5,3,226.08,43.32,0.4859,0.6583,0.3098,0.1389,1,5,12,1.6667,75.36,0.2,1.0,0,2023-04-05,passive,0.397013,
U000067,352,family,mobile,LATAM,35_44,standalone,1,8,5,303.64,39.47,0.7248,0.3858,0.3878,0.505,4,7,4,1.6,60.728,0.5,0.875,0,2024-07-14,casual,0.025523,
U000068,96,student,desktop,LATAM,18_24,standalone,1,14,5,665.11,42.56,0.7825,0.3103,0.6084,0.6763,3,2,1,2.8,133.022,0.2143,0.1429,0,2025-03-27,casual,0.008482,
U000069,438,individual,mobile,LATAM,35_44,bundle,2,23,12,678.78,48.91,0.7148,0.308,0.7099,0.4443,8,3,6,1.9167,56.565,0.3478,0.1304,0,2024-04-19,casual,0.001301,
U000070,723,student,mobile,EU,25_34,standalone,3,11,9,402.26,33.64,0.76,0.3078,0.2618,0.4593,7,3,3,1.2222,44.6956,0.6364,0.2727,0,2023-07-09,casual,0.008291,
U000071,195,premium,mobile,APAC,55_plus,standalone,2,11,6,113.35,14.27,0.5326,0.5612,0.5786,0.6181,10,4,5,1.8333,18.8917,0.9091,0.3636,0,2024-12-18,casual,0.029437,
U000072,433,student,mobile,US,25_34,standalone,2,5,3,31.54,7.02,0.8093,0.2846,0.8575,0.4613,9,1,18,1.6667,10.5133,1.8,0.2,0,2024-04-24,casual,0.118414,
U000073,143,family,tv,LATAM,55_plus,bundle,3,7,8,307.46,50.25,0.9116,0.0341,0.4667,0.4139,11,7,2,0.875,38.4325,1.5714,1.0,0,2025-02-08,casual,0.004172,
U000074,627,individual,mobile,US,18_24,standalone,1,6,1,51.42,8.85,0.4139,0.6287,0.0743,0.1171,1,1,1,6.0,51.42,0.1667,0.1667,1,2023-10-13,at_risk,0.740761,2025-07-13
U000075,444,family,tv,US,45_54,standalone,1,15,8,905.42,67.25,0.5385,0.4816,0.4618,0.6653,12,4,0,1.875,113.1775,0.8,0.2667,0,2024-04-13,casual,0.011217,
U000076,317,individual,mobile,LATAM,25_34,standalone,2,7,3,405.33,49.67,0.7699,0.1822,0.5883,0.6249,4,3,3,2.3333,135.11,0.5714,0.4286,0,2024-08-18,casual,0.010499,
U000077,227,family,mobile,LATAM,25_34,bundle,3,14,3,390.0,37.46,0.9102,0.1554,0.6784,0.5848,16,4,11,4.6667,130.0,1.1429,0.2857,0,2024-11-16,power,0.003124,
U000078,521,family,tablet,LATAM,45_54,standalone,3,20,8,951.87,69.11,0.7036,0.2659,0.5815,0.2859,7,3,6,2.5,118.9838,0.35,0.15,0,2024-01-27,casual,0.006408,
U000079,613,student,tv,LATAM,25_34,bundle,3,9,6,276.66,33.91,0.4164,0.579,0.3158,0.4022,2,4,33,1.5,46.11,0.2222,0.4444,1,2023-10-27,passive,0.17845,2025-07-03
U000080,849,individual,mobile,EU,35_44,standalone,4,18,8,720.82,47.24,0.8149,0.2843,0.7812,0.9022,10,10,3,2.25,90.1025,0.5556,0.5556,0,2023-03-05,power,0.000567,
U000081,410,individual,mobile,LATAM,35_44,bundle,1,9,10,179.62,30.06,0.5873,0.5431,0.404,0.1363,2,2,2,0.9,17.962,0.2222,0.2222,0,2024-05-17,passive,0.083051,
U000082,169,individual,tv,US,25_34,standalone,4,3,1,122.0,37.36,0.7053,0.3738,0.5874,0.6503,2,2,5,3.0,122.0,0.6667,0.6667,0,2025-01-13,casual,0.082743,
U000083,755,family,tablet,LATAM,18_24,bundle,4,31,15,1563.08,49.86,0.99,0.0681,0.6101,0.5881,10,7,4,2.0667,104.2053,0.3226,0.2258,0,2023-06-07,power,0.00016,
U000084,578,individual,tv,LATAM,55_plus,standalone,2,4,5,123.21,35.45,0.4687,0.5596,0.2975,0.1873,2,0,14,0.8,24.642,0.5,0.0,1,2023-12-01,at_risk,0.520579,2025-07-28
U000085,639,family,tablet,EU,35_44,standalone,3,18,10,985.26,45.86,0.7378,0.3277,0.6489,0.4043,7,1,4,1.8,98.526,0.3889,0.0556,0,2023-10-01,casual,0.004359,
U000086,114,student,mobile,US,45_54,standalone,1,6,8,186.17,25.23,0.5626,0.605,0.5325,0.2073,3,4,2,0.75,23.2712,0.5,0.6667,0,2025-03-09,passive,0.154394,
U000087,302,family,desktop,EU,45_54,standalone,3,12,4,621.22,46.11,0.8016,0.3311,0.5825,0.2514,8,6,6,3.0,155.305,0.6667,0.5,0,2024-09-02,casual,0.009983,
U000088,698,student,mobile,US,45_54,standalone,1,3,2,36.34,14.46,0.4895,0.5468,0.2328,0.0369,1,1,53,1.5,18.17,0.3333,0.3333,1,2023-08-03,at_risk,0.968393,2025-07-16
U000089,754,individual,mobile,EU,35_44,standalone,4,20,16,457.26,18.24,0.7038,0.4127,0.6259,0.3065,7,5,0,1.25,28.5788,0.35,0.25,0,2023-06-08,casual,0.003455,
U000090,409,individual,tv,LATAM,18_24,standalone,3,19,16,572.44,50.81,0.9661,0.01,0.244,0.3656,4,5,3,1.1875,35.7775,0.2105,0.2632,0,2024-05-18,casual,0.002514,
U000091,730,family,mobile,US,45_54,standalone,2,12,8,462.49,27.1,0.5655,0.5986,0.2818,0.2419,1,1,33,1.5,57.8112,0.0833,0.0833,0,2023-07-02,passive,0.205937,
U000092,763,individual,mobile,LATAM,45_54,standalone,3,22,14,1192.07,53.46,0.8213,0.2924,0.3946,0.5717,6,4,2,1.5714,85.1479,0.2727,0.1818,0,2023-05-30,casual,0.005716,
U000093,367,family,mobile,EU,35_44,standalone,2,15,14,591.12,37.47,0.8375,0.221,0.5736,0.5914,4,6,4,1.0714,42.2229,0.2667,0.4,0,2024-06-29,casual,0.003007,
U000094,812,individual,tablet,US,45_54,standalone,3,6,4,185.24,33.86,0.5641,0.419,0.05,0.312,2,2,3,1.5,46.31,0.3333,0.3333,0,2023-04-11,at_risk,0.267503,
U000095,281,premium,tablet,LATAM,18_24,bundle,1,9,6,348.4,40.93,0.6823,0.3465,0.7673,0.4711,3,2,14,1.5,58.0667,0.3333,0.2222,0,2024-09-23,passive,0.042417,
U000096,238,family,tv,US,25_34,standalone,1,7,1,371.79,43.01,0.6312,0.3491,0.4216,0.454,2,2,1,7.0,371.79,0.2857,0.2857,0,2024-11-05,passive,0.121127,
U000097,624,family,mobile,EU,18_24,bundle,2,14,9,467.52,35.26,0.6235,0.4067,0.066,0.5865,5,3,2,1.5556,51.9467,0.3571,0.2143,0,2023-10-16,passive,0.042475,
U000098,584,family,mobile,LATAM,35_44,standalone,1,6,2,95.18,16.61,0.6416,0.397,0.3382,0.1325,1,2,36,3.0,47.59,0.1667,0.3333,1,2023-11-25,at_risk,0.583871,2025-07-12
U000099,151,individual,tablet,US,25_34,standalone,2,3,1,164.64,46.03,0.321,0.6869,0.1472,0.2294,1,1,0,3.0,164.64,0.3333,0.3333,1,2025-01-31,at_risk,0.585179,2025-07-11
U000100,755,family,tv,EU,18_24,bundle,2,10,4,368.44,34.07,0.5679,0.519,0.3993,0.0873,2,3,11,2.5,92.11,0.2,0.3,0,2023-06-07,passive,0.092779,
U000101,204,individual,tv,LATAM,35_44,bundle,3,14,10,512.37,49.18,0.4909,0.6423,0.6019,0.4698,7,0,11,1.4,51.237,0.5,0.0,0,2024-12-09,casual,0.023103,
U000102,731,family,mobile,US,25_34,bundle,4,21,13,836.89,42.95,0.8224,0.3211,0.4527,0.507,12,10,0,1.6154,64.3762,0.5714,0.4762,0,2023-07-01,power,0.000473,
U000103,36,student,mobile,EU,25_34,standalone,1,6,3,104.79,22.81,0.7124,0.3926,0.501,0.1362,0,4,2,2.0,34.93,0.0,0.6667,0,2025-05-26,passive,0.150168,
U000104,724,individual,mobile,LATAM,25_34,bundle,2,3,2,37.96,15.64,0.381,0.6214,0.2528,0.3374,1,1,9,1.5,18.98,0.3333,0.3333,0,2023-07-08,at_risk,0.680323,
U000105,715,family,tv,LATAM,18_24,bundle,2,27,20,821.46,35.28,0.7446,0.3643,0.2884,0.431,6,2,5,1.35,41.073,0.2222,0.0741,0,2023-07-17,casual,0.006334,
U000106,709,individual,tablet,US,25_34,standalone,4,27,14,1639.94,63.18,0.8223,0.243,0.8564,0.3891,11,11,5,1.9286,117.1386,0.4074,0.4074,0,2023-07-23,power,0.000344,
U000107,609,individual,desktop,US,25_34,standalone,2,9,6,379.71,42.66,0.6377,0.4916,0.6295,0.3792,6,6,7,1.5,63.285,0.6667,0.6667,0,2023-10-31,casual,0.065353,
U000108,440,individual,mobile,EU,25_34,bundle,2,15,7,640.35,49.17,0.8461,0.2482,0.4869,0.5892,8,4,6,2.1429,91.4786,0.5333,0.2667,0,2024-04-17,casual,0.004741,
U000109,644,family,mobile,US,25_34,standalone,1,6,4,233.76,39.53,0.5284,0.5362,0.4315,0.3156,2,1,19,1.5,58.44,0.3333,0.1667,1,2023-09-26,at_risk,0.445173,2025-07-30
U000110,271,individual,tablet,US,55_plus,standalone,2,19,8,1022.84,57.65,0.8595,0.1254,0.5067,0.6287,14,12,1,2.375,127.855,0.7368,0.6316,0,2024-10-03,power,0.001563,
U000111,710,individual,mobile,LATAM,18_24,standalone,3,13,6,509.5,30.42,0.5708,0.4235,0.4141,0.3227,0,6,73,2.1667,84.9167,0.0,0.4615,1,2023-07-22,passive,0.706722,2025-07-04
U000112,513,premium,tv,LATAM,25_34,standalone,3,15,11,245.76,19.51,0.5501,0.446,0.4938,0.3004,4,5,12,1.3636,22.3418,0.2667,0.3333,0,2024-02-04,passive,0.031314,
U000113,429,premium,tv,US,45_54,standalone,1,7,1,128.11,21.7,0.5316,0.5115,0.2956,0.1893,3,0,15,7.0,128.11,0.4286,0.0,1,2024-04-28,at_risk,0.755982,2025-07-11
U000114,470,student,mobile,LATAM,25_34,standalone,4,22,14,1160.83,59.06,0.8713,0.1715,0.8145,0.8128,10,4,3,1.5714,82.9164,0.4545,0.1818,0,2024-03-18,power,0.000451,
U000115,525,individual,mobile,APAC,25_34,standalone,2,12,8,181.81,13.31,0.6155,0.4149,0.2751,0.3528,4,0,1,1.5,22.7262,0.3333,0.0,0,2024-01-23,at_risk,0.084538,
U000116,62,student,mobile,LATAM,45_54,standalone,1,6,1,219.65,34.9,0.6199,0.4341,0.483,0.2723,3,4,0,6.0,219.65,0.5,0.6667,0,2025-04-30,passive,0.074055,
U000117,151,premium,tv,LATAM,18_24,standalone,1,6,4,156.22,29.74,0.3693,0.6471,0.1902,0.1348,6,1,1,1.5,39.055,1.0,0.1667,0,2025-01-31,passive,0.125999,
U000118,243,individual,mobile,EU,55_plus,bundle,4,16,7,1138.6,56.53,0.8894,0.2888,0.7692,0.9365,5,10,0,2.2857,162.6571,0.3125,0.625,0,2024-10-31,power,0.000527,
U000119,129,individual,mobile,LATAM,25_34,bundle,3,8,3,111.53,13.75,0.5955,0.4428,0.3836,0.4721,3,2,6,2.6667,37.1767,0.375,0.25,0,2025-02-22,casual,0.067582,
U000120,412,individual,mobile,LATAM,45_54,standalone,3,11,11,317.49,28.52,0.5186,0.5255,0.0954,0.3101,5,5,25,1.0,28.8627,0.4545,0.4545,0,2024-05-15,passive,0.172233,
U000121,612,individual,tablet,APAC,55_plus,standalone,2,11,6,273.38,26.42,0.639,0.3098,0.617,0.3021,3,5,1,1.8333,45.5633,0.2727,0.4545,0,2023-10-28,casual,0.010018,
U000122,600,student,desktop,EU,45_54,bundle,3,16,12,766.46,41.49,0.7083,0.482,0.5522,0.4041,7,3,20,1.3333,63.8717,0.4375,0.1875,0,2023-11-09,casual,0.022305,
U000123,440,family,desktop,LATAM,25_34,bundle,2,9,4,286.22,36.63,0.5397,0.4955,0.1786,0.2559,3,2,18,2.25,71.555,0.3333,0.2222,0,2024-04-17,passive,0.383958,
U000124,774,individual,tablet,LATAM,35_44,bundle,1,10,6,362.74,39.81,0.8717,0.2387,0.3305,0.2696,2,5,15,1.6667,60.4567,0.2,0.5,0,2023-05-19,passive,0.03911,
U000125,522,individual,mobile,US,25_34,bundle,5,32,18,1649.75,47.64,0.7539,0.3808,0.8514,1.0,10,13,3,1.7778,91.6528,0.3125,0.4062,0,2024-01-26,power,0.000227,
U000126,98,family,mobile,LATAM,35_44,standalone,3,8,5,229.14,25.99,0.688,0.2773,0.3863,0.6524,9,6,6,1.6,45.828,1.125,0.75,0,2025-03-25,casual,0.013356,
U000127,696,student,tv,LATAM,45_54,standalone,3,11,8,376.11,34.02,0.6382,0.3516,0.2967,0.3385,4,1,10,1.375,47.0138,0.3636,0.0909,0,2023-08-05,casual,0.017202,
U000128,530,student,tv,LATAM,25_34,standalone,1,5,6,221.93,38.44,0.5356,0.5273,0.419,0.0798,0,3,1,0.8333,36.9883,0.0,0.6,1,2024-01-18,at_risk,0.330553,2025-07-29
U000129,582,individual,tv,EU,25_34,standalone,2,4,5,107.37,30.68,0.5076,0.5651,0.0557,0.2546,3,2,3,0.8,21.474,0.75,0.5,1,2023-11-27,at_risk,0.471772,2025-07-13
U000130,522,family,mobile,LATAM,35_44,bundle,4,13,7,521.2,34.18,0.8507,0.1057,0.5599,0.5976,7,2,24,1.8571,74.4571,0.5385,0.1538,0,2024-01-26,casual,0.007048,
U000131,512,student,desktop,EU,25_34,standalone,4,24,15,1745.13,69.06,0.9289,0.1525,0.8388,0.7185,4,7,5,1.6,116.342,0.1667,0.2917,0,2024-02-05,power,0.00084,
U000132,108,family,mobile,LATAM,35_44,bundle,3,17,14,742.8,39.08,0.8544,0.2023,0.6142,0.4349,9,1,1,1.2143,53.0571,0.5294,0.0588,0,2025-03-15,casual,0.002811,
U000133,517,individual,tv,US,18_24,bundle,2,22,18,1154.56,49.81,0.6571,0.3892,0.7045,0.291,7,2,0,1.2222,64.1422,0.3182,0.0909,0,2024-01-31,casual,0.010274,
