user_id,signup_date,tenure_days,behavioral_segment,plan,primary_device,region,age_group,bundle_type,num_services,sessions_last_30d,active_days_last_30d,watch_time_last_30d,avg_session_duration_min,completion_rate,skip_rate,content_diversity_score,feature_usage_score,search_activity_last_30d,watchlist_additions_last_30d,days_since_last_session,churn_probability,will_churn_30d,churn_date
U000011,2023-02-03,879,casual,individual,mobile,LATAM,55_plus,bundle,3,6,3,198.58,42.42,0.7002,0.4773,0.5138,0.4977,6,3,0,0.026972,0,
U000012,2023-08-31,670,casual,family,tablet,LATAM,18_24,standalone,4,14,8,610.49,42.69,0.8509,0.2085,0.6355,0.1719,4,4,19,0.009819,0,
U000013,2023-08-09,692,passive,family,mobile,US,55_plus,standalone,3,13,11,377.76,34.2,0.6198,0.5419,0.4105,0.144,3,2,9,0.071948,0,
U000014,2023-09-16,654,power,individual,mobile,US,35_44,bundle,2,38,27,2072.37,55.17,0.6173,0.4168,0.6243,0.7511,7,3,14,0.002005,0,
U000015,2023-07-18,714,casual,premium,tv,US,45_54,standalone,2,16,12,798.51,48.04,0.7853,0.3907,0.6517,0.3282,5,5,21,0.016724,0,
U000016,2024-03-11,477,casual,individual,tv,US,25_34,standalone,3,13,9,797.88,66.86,0.668,0.4218,0.244,0.5242,4,0,6,0.014367,0,
U000017,2025-02-10,141,casual,premium,mobile,EU,45_54,standalone,3,17,11,349.45,18.58,0.6909,0.323,0.6437,0.4446,6,5,4,0.008105,0,
U000018,2023-06-01,761,passive,student,mobile,EU,25_34,standalone,2,5,3,107.23,22.85,0.6913,0.4681,0.2512,0.2561,2,1,34,0.540031,0,
U000019,2024-05-05,422,casual,individual,tablet,EU,18_24,standalone,1,18,11,859.67,51.28,0.5697,0.4429,0.8673,0.4644,6,3,1,0.00639,0,
U000020,2024-03-23,465,at_risk,premium,desktop,US,55_plus,standalone,3,10,4,350.41,35.33,0.4145,0.6557,0.1887,0.3528,0,2,10,0.283505,0,
U000021,2024-07-14,352,at_risk,premium,tv,LATAM,55_plus,standalone,4,1,2,30.49,36.83,0.4437,0.5671,0.212,0.1522,5,3,17,0.842393,1,2025-07-13
U000022,2024-12-24,189,at_risk,family,tablet,US,18_24,bundle,1,3,2,103.81,36.18,0.6256,0.4391,0.1302,0.1789,1,0,11,0.562886,0,
U000023,2023-03-17,837,passive,family,mobile,LATAM,25_34,bundle,3,8,4,300.07,35.28,0.644,0.3626,0.4319,0.4403,2,2,0,0.019406,0,
U000024,2023-07-22,710,passive,family,tv,LATAM,55_plus,bundle,4,5,3,111.32,22.24,0.5918,0.5705,0.3415,0.2567,5,1,3,0.165687,0,
U000025,2023-11-19,590,passive,family,tv,EU,35_44,standalone,3,8,2,282.98,30.86,0.4912,0.5764,0.4963,0.3238,5,5,15,0.176055,1,2025-07-24
U000026,2024-06-16,380,casual,individual,tablet,APAC,25_34,bundle,3,19,13,652.89,37.14,0.6915,0.4105,0.5565,0.7682,6,4,4,0.007366,0,
U000027,2023-06-16,746,casual,individual,tablet,APAC,18_24,bundle,4,21,11,548.64,31.01,0.606,0.4566,0.7755,0.5922,10,6,4,0.003045,0,
U000028,2024-02-12,505,passive,family,mobile,LATAM,25_34,standalone,2,10,5,321.82,30.52,0.5928,0.5202,0.5004,0.1706,1,2,0,0.060462,0,
U000029,2024-05-11,416,power,individual,mobile,LATAM,25_34,bundle,4,19,8,1290.02,61.76,0.9306,0.2126,0.6293,0.7223,9,6,0,0.000842,0,
U000030,2024-05-05,422,power,premium,tablet,LATAM,35_44,standalone,4,25,12,1735.86,78.59,0.7507,0.2371,0.6438,0.8319,8,10,11,0.000455,0,
U000031,2024-11-16,227,at_risk,individual,mobile,EU,25_34,standalone,2,9,8,347.29,39.15,0.368,0.7341,0.2788,0.4505,1,2,10,0.433158,0,
U000032,2025-03-13,110,power,student,tv,US,35_44,standalone,3,12,3,966.97,64.06,0.9147,0.1914,0.8876,0.7508,10,8,6,0.001792,0,
U000033,2024-02-04,513,casual,individual,tv,EU,18_24,standalone,2,18,14,537.02,34.64,0.6327,0.416,0.7589,0.3325,4,3,16,0.012274,0,
U000034,2023-04-20,803,passive,family,mobile,APAC,45_54,bundle,3,15,6,257.24,15.85,0.4677,0.6206,0.3856,0.0248,5,4,4,0.087233,1,2025-07-28
U000035,2025-04-07,85,power,student,tv,LATAM,18_24,standalone,3,19,12,1183.69,63.15,0.7819,0.291,0.5341,0.7346,15,5,1,0.002641,0,
U000036,2023-05-16,777,at_risk,premium,tv,LATAM,35_44,bundle,1,5,5,146.11,36.21,0.4903,0.5937,0.3116,0.2693,1,0,12,0.399271,0,
U000037,2023-06-12,750,power,student,tablet,EU,45_54,bundle,5,27,18,1700.11,56.27,0.99,0.0899,0.5377,0.5442,18,7,10,0.000311,0,
U000038,2024-10-03,271,at_risk,individual,mobile,LATAM,45_54,standalone,2,3,2,31.57,14.79,0.3038,0.7655,0.0891,0.1007,1,1,0,0.853205,1,2025-07-30
U000039,2023-11-29,580,passive,family,mobile,US,18_24,bundle,2,9,8,278.08,32.06,0.4956,0.5577,0.3021,0.3564,3,2,3,0.073126,0,
U000040,2025-01-09,173,casual,individual,mobile,LATAM,45_54,standalone,2,9,7,572.32,53.55,0.7464,0.4792,0.6837,0.6909,8,7,8,0.018311,0,
U000041,2023-08-11,690,power,family,mobile,US,18_24,standalone,4,17,9,649.19,49.99,0.9581,0.0938,0.6697,0.4836,16,4,3,0.000531,0,
U000042,2023-09-30,640,casual,student,tv,APAC,18_24,standalone,2,11,10,580.67,45.58,0.8967,0.2301,0.4218,0.5062,5,3,2,0.009983,0,
U000043,2024-07-28,338,casual,individual,mobile,LATAM,45_54,bundle,4,7,5,172.07,17.49,0.7274,0.3604,0.6142,0.4526,8,2,11,0.015889,0,
U000044,2025-04-03,89,casual,individual,mobile,LATAM,18_24,bundle,3,10,5,318.15,30.42,0.8426,0.2305,0.2497,0.4972,7,5,3,0.020838,0,
U000045,2023-02-07,875,at_risk,premium,desktop,APAC,25_34,bundle,1,6,5,127.44,24.3,0.4609,0.5769,0.0722,0.0,2,1,13,0.527004,1,2025-07-22
U000046,2024-05-09,418,casual,student,mobile,LATAM,55_plus,standalone,1,10,5,350.4,43.57,0.6391,0.4375,0.6466,0.5143,6,4,9,0.051574,0,
U000047,2023-04-16,807,at_risk,individual,mobile,EU,25_34,bundle,3,11,9,458.6,35.46,0.3719,0.6461,0.05,0.516,1,0,37,0.699603,1,2025-07-17
U000048,2023-10-20,620,power,family,tablet,APAC,45_54,bundle,4,20,10,791.28,59.88,0.8261,0.3265,0.9214,0.6874,12,7,0,0.000459,0,
U000049,2023-07-25,707,at_risk,premium,tv,LATAM,35_44,bundle,3,3,1,99.17,32.95,0.6569,0.4754,0.0867,0.421,1,3,32,0.708955,1,2025-07-22
U000050,2023-08-10,691,casual,family,mobile,LATAM,25_34,bundle,2,16,12,840.9,67.81,0.8015,0.2627,0.6159,0.6713,6,2,8,0.003214,0,
U000051,2024-12-14,199,casual,family,desktop,LATAM,25_34,standalone,3,8,2,508.95,53.65,0.7272,0.355,0.4573,0.6612,6,4,4,0.011423,0,
U000052,2024-07-20,346,passive,individual,tv,LATAM,25_34,bundle,2,8,4,287.61,28.09,0.4956,0.6025,0.4146,0.1313,2,0,23,0.334834,0,
U000053,2024-04-21,436,power,individual,mobile,LATAM,45_54,bundle,5,31,23,1495.1,43.75,0.6282,0.4479,0.6698,0.7264,10,8,2,0.000392,0,
U000054,2024-03-25,463,at_risk,premium,mobile,LATAM,45_54,standalone,2,8,1,164.76,19.84,0.4856,0.5095,0.162,0.2003,2,0,12,0.307513,1,2025-07-18
U000055,2025-04-24,68,casual,premium,desktop,LATAM,25_34,bundle,2,8,6,286.82,43.41,0.8159,0.2678,0.8062,0.3878,4,0,1,0.012901,0,
U000056,2024-02-11,506,casual,family,mobile,EU,35_44,standalone,5,14,12,472.5,42.9,0.6812,0.5704,0.3724,0.5717,17,7,8,0.012935,0,
U000057,2025-01-18,164,casual,family,tablet,LATAM,35_44,bundle,3,5,4,86.85,28.31,0.681,0.3356,0.6509,0.4022,5,3,12,0.063766,0,
U000058,2023-08-24,677,passive,premium,mobile,LATAM,35_44,standalone,1,10,6,439.03,45.16,0.6632,0.5534,0.6063,0.2861,4,1,3,0.082235,0,
U000059,2023-10-16,624,power,student,mobile,LATAM,18_24,bundle,4,25,14,1405.25,52.46,0.7601,0.3187,0.4738,0.9102,7,4,0,0.000698,0,
U000060,2023-03-21,833,power,individual,tablet,US,25_34,standalone,4,25,17,1665.03,64.35,0.7965,0.3423,0.6895,0.7292,15,7,1,0.00021,0,
U000061,2023-08-23,678,power,premium,desktop,LATAM,25_34,bundle,4,20,9,912.95,52.48,0.9713,0.01,0.8043,0.8026,14,3,3,0.000442,0,
U000062,2024-07-17,349,casual,individual,mobile,LATAM,35_44,standalone,3,11,7,435.89,34.62,0.7021,0.5276,0.6265,0.8602,5,4,5,0.015511,0,
U000063,2023-02-10,872,power,student,mobile,APAC,25_34,standalone,4,26,10,1100.98,39.41,0.7862,0.3156,0.6905,0.5571,8,4,0,0.000669,0,
U000064,2024-06-09,387,at_risk,individual,tv,EU,35_44,standalone,3,2,5,81.02,49.91,0.4128,0.5951,0.4463,0.3527,4,0,44,0.896351,1,2025-07-16
U000065,2024-08-22,313,casual,family,tv,US,55_plus,standalone,3,14,7,1061.6,72.04,0.7746,0.3791,0.8606,0.6953,8,4,4,0.002891,0,
U000066,2023-04-05,818,passive,family,mobile,US,18_24,bundle,3,5,3,226.08,43.32,0.4859,0.6583,0.3098,0.1389,1,5,12,0.397013,0,
U000067,2024-07-14,352,casual,family,mobile,LATAM,35_44,standalone,1,8,5,303.64,39.47,0.7248,0.3858,0.3878,0.505,4,7,4,0.025523,0,
U000068,2025-03-27,96,casual,student,desktop,LATAM,18_24,standalone,1,14,5,665.11,42.56,0.7825,0.3103,0.6084,0.6763,3,2,1,0.008482,0,
U000069,2024-04-19,438,casual,individual,mobile,LATAM,35_44,bundle,2,23,12,678.78,48.91,0.7148,0.308,0.7099,0.4443,8,3,6,0.001301,0,
U000070,2023-07-09,723,casual,student,mobile,EU,25_34,standalone,3,11,9,402.26,33.64,0.76,0.3078,0.2618,0.4593,7,3,3,0.008291,0,
U000071,2024-12-18,195,casual,premium,mobile,APAC,55_plus,standalone,2,11,6,113.35,14.27,0.5326,0.5612,0.5786,0.6181,10,4,5,0.029437,0,
U000072,2024-04-24,433,casual,student,mobile,US,25_34,standalone,2,5,3,31.54,7.02,0.8093,0.2846,0.8575,0.4613,9,1,18,0.118414,0,
U000073,2025-02-08,143,casual,family,tv,LATAM,55_plus,bundle,3,7,8,307.46,50.25,0.9116,0.0341,0.4667,0.4139,11,7,2,0.004172,0,
U000074,2023-10-13,627,at_risk,individual,mobile,US,18_24,standalone,1,6,1,51.42,8.85,0.4139,0.6287,0.0743,0.1171,1,1,1,0.740761,1,2025-07-13
U000075,2024-04-13,444,casual,family,tv,US,45_54,standalone,1,15,8,905.42,67.25,0.5385,0.4816,0.4618,0.6653,12,4,0,0.011217,0,
U000076,2024-08-18,317,casual,individual,mobile,LATAM,25_34,standalone,2,7,3,405.33,49.67,0.7699,0.1822,0.5883,0.6249,4,3,3,0.010499,0,
U000077,2024-11-16,227,power,family,mobile,LATAM,25_34,bundle,3,14,3,390.0,37.46,0.9102,0.1554,0.6784,0.5848,16,4,11,0.003124,0,
U000078,2024-01-27,521,casual,family,tablet,LATAM,45_54,standalone,3,20,8,951.87,69.11,0.7036,0.2659,0.5815,0.2859,7,3,6,0.006408,0,
U000079,2023-10-27,613,passive,student,tv,LATAM,25_34,bundle,3,9,6,276.66,33.91,0.4164,0.579,0.3158,0.4022,2,4,33,0.17845,1,2025-07-03
U000080,2023-03-05,849,power,individual,mobile,EU,35_44,standalone,4,18,8,720.82,47.24,0.8149,0.2843,0.7812,0.9022,10,10,3,0.000567,0,
U000081,2024-05-17,410,passive,individual,mobile,LATAM,35_44,bundle,1,9,10,179.62,30.06,0.5873,0.5431,0.404,0.1363,2,2,2,0.083051,0,
U000082,2025-01-13,169,casual,individual,tv,US,25_34,standalone,4,3,1,122.0,37.36,0.7053,0.3738,0.5874,0.6503,2,2,5,0.082743,0,
U000083,2023-06-07,755,power,family,tablet,LATAM,18_24,bundle,4,31,15,1563.08,49.86,0.99,0.0681,0.6101,0.5881,10,7,4,0.00016,0,
U000084,2023-12-01,578,at_risk,individual,tv,LATAM,55_plus,standalone,2,4,5,123.21,35.45,0.4687,0.5596,0.2975,0.1873,2,0,14,0.520579,1,2025-07-28
U000085,2023-10-01,639,casual,family,tablet,EU,35_44,standalone,3,18,10,985.26,45.86,0.7378,0.3277,0.6489,0.4043,7,1,4,0.004359,0,
U000086,2025-03-09,114,passive,student,mobile,US,45_54,standalone,1,6,8,186.17,25.23,0.5626,0.605,0.5325,0.2073,3,4,2,0.154394,0,
U000087,2024-09-02,302,casual,family,desktop,EU,45_54,standalone,3,12,4,621.22,46.11,0.8016,0.3311,0.5825,0.2514,8,6,6,0.009983,0,
U000088,2023-08-03,698,at_risk,student,mobile,US,45_54,standalone,1,3,2,36.34,14.46,0.4895,0.5468,0.2328,0.0369,1,1,53,0.968393,1,2025-07-16
U000089,2023-06-08,754,casual,individual,mobile,EU,35_44,standalone,4,20,16,457.26,18.24,0.7038,0.4127,0.6259,0.3065,7,5,0,0.003455,0,
U000090,2024-05-18,409,casual,individual,tv,LATAM,18_24,standalone,3,19,16,572.44,50.81,0.9661,0.01,0.244,0.3656,4,5,3,0.002514,0,
U000091,2023-07-02,730,passive,family,mobile,US,45_54,standalone,2,12,8,462.49,27.1,0.5655,0.5986,0.2818,0.2419,1,1,33,0.205937,0,
U000092,2023-05-30,763,casual,individual,mobile,LATAM,45_54,standalone,3,22,14,1192.07,53.46,0.8213,0.2924,0.3946,0.5717,6,4,2,0.005716,0,
U000093,2024-06-29,367,casual,family,mobile,EU,35_44,standalone,2,15,14,591.12,37.47,0.8375,0.221,0.5736,0.5914,4,6,4,0.003007,0,
U000094,2023-04-11,812,at_risk,individual,tablet,US,45_54,standalone,3,6,4,185.24,33.86,0.5641,0.419,0.05,0.312,2,2,3,0.267503,0,
U000095,2024-09-23,281,passive,premium,tablet,LATAM,18_24,bundle,1,9,6,348.4,40.93,0.6823,0.3465,0.7673,0.4711,3,2,14,0.042417,0,
U000096,2024-11-05,238,passive,family,tv,US,25_34,standalone,1,7,1,371.79,43.01,0.6312,0.3491,0.4216,0.454,2,2,1,0.121127,0,
U000097,2023-10-16,624,passive,family,mobile,EU,18_24,bundle,2,14,9,467.52,35.26,0.6235,0.4067,0.066,0.5865,5,3,2,0.042475,0,
U000098,2023-11-25,584,at_risk,family,mobile,LATAM,35_44,standalone,1,6,2,95.18,16.61,0.6416,0.397,0.3382,0.1325,1,2,36,0.583871,1,2025-07-12
U000099,2025-01-31,151,at_risk,individual,tablet,US,25_34,standalone,2,3,1,164.64,46.03,0.321,0.6869,0.1472,0.2294,1,1,0,0.585179,1,2025-07-11
U000100,2023-06-07,755,passive,family,tv,EU,18_24,bundle,2,10,4,368.44,34.07,0.5679,0.519,0.3993,0.0873,2,3,11,0.092779,0,
U000101,2024-12-09,204,casual,individual,tv,LATAM,35_44,bundle,3,14,10,512.37,49.18,0.4909,0.6423,0.6019,0.4698,7,0,11,0.023103,0,
U000102,2023-07-01,731,power,family,mobile,US,25_34,bundle,4,21,13,836.89,42.95,0.8224,0.3211,0.4527,0.507,12,10,0,0.000473,0,
U000103,2025-05-26,36,passive,student,mobile,EU,25_34,standalone,1,6,3,104.79,22.81,0.7124,0.3926,0.501,0.1362,0,4,2,0.150168,0,
U000104,2023-07-08,724,at_risk,individual,mobile,LATAM,25_34,bundle,2,3,2,37.96,15.64,0.381,0.6214,0.2528,0.3374,1,1,9,0.680323,0,
U000105,2023-07-17,715,casual,family,tv,LATAM,18_24,bundle,2,27,20,821.46,35.28,0.7446,0.3643,0.2884,0.431,6,2,5,0.006334,0,
U000106,2023-07-23,709,power,individual,tablet,US,25_34,standalone,4,27,14,1639.94,63.18,0.8223,0.243,0.8564,0.3891,11,11,5,0.000344,0,
U000107,2023-10-31,609,casual,individual,desktop,US,25_34,standalone,2,9,6,379.71,42.66,0.6377,0.4916,0.6295,0.3792,6,6,7,0.065353,0,
U000108,2024-04-17,440,casual,individual,mobile,EU,25_34,bundle,2,15,7,640.35,49.17,0.8461,0.2482,0.4869,0.5892,8,4,6,0.004741,0,
U000109,2023-09-26,644,at_risk,family,mobile,US,25_34,standalone,1,6,4,233.76,39.53,0.5284,0.5362,0.4315,0.3156,2,1,19,0.445173,1,2025-07-30
U000110,2024-10-03,271,power,individual,tablet,US,55_plus,standalone,2,19,8,1022.84,57.65,0.8595,0.1254,0.5067,0.6287,14,12,1,0.001563,0,
U000111,2023-07-22,710,passive,individual,mobile,LATAM,18_24,standalone,3,13,6,509.5,30.42,0.5708,0.4235,0.4141,0.3227,0,6,73,0.706722,1,2025-07-04
U000112,2024-02-04,513,passive,premium,tv,LATAM,25_34,standalone,3,15,11,245.76,19.51,0.5501,0.446,0.4938,0.3004,4,5,12,0.031314,0,
U000113,2024-04-28,429,at_risk,premium,tv,US,45_54,standalone,1,7,1,128.11,21.7,0.5316,0.5115,0.2956,0.1893,3,0,15,0.755982,1,2025-07-11
U000114,2024-03-18,470,power,student,mobile,LATAM,25_34,standalone,4,22,14,1160.83,59.06,0.8713,0.1715,0.8145,0.8128,10,4,3,0.000451,0,
U000115,2024-01-23,525,at_risk,individual,mobile,APAC,25_34,standalone,2,12,8,181.81,13.31,0.6155,0.4149,0.2751,0.3528,4,0,1,0.084538,0,
U000116,2025-04-30,62,passive,student,mobile,LATAM,45_54,standalone,1,6,1,219.65,34.9,0.6199,0.4341,0.483,0.2723,3,4,0,0.074055,0,
U000117,2025-01-31,151,passive,premium,tv,LATAM,18_24,standalone,1,6,4,156.22,29.74,0.3693,0.6471,0.1902,0.1348,6,1,1,0.125999,0,
U000118,2024-10-31,243,power,individual,mobile,EU,55_plus,bundle,4,16,7,1138.6,56.53,0.8894,0.2888,0.7692,0.9365,5,10,0,0.000527,0,
U000119,2025-02-22,129,casual,individual,mobile,LATAM,25_34,bundle,3,8,3,111.53,13.75,0.5955,0.4428,0.3836,0.4721,3,2,6,0.067582,0,
U000120,2024-05-15,412,passive,individual,mobile,LATAM,45_54,standalone,3,11,11,317.49,28.52,0.5186,0.5255,0.0954,0.3101,5,5,25,0.172233,0,
U000121,2023-10-28,612,casual,individual,tablet,APAC,55_plus,standalone,2,11,6,273.38,26.42,0.639,0.3098,0.617,0.3021,3,5,1,0.010018,0,
U000122,2023-11-09,600,casual,student,desktop,EU,45_54,bundle,3,16,12,766.46,41.49,0.7083,0.482,0.5522,0.4041,7,3,20,0.022305,0,
U000123,2024-04-17,440,passive,family,desktop,LATAM,25_34,bundle,2,9,4,286.22,36.63,0.5397,0.4955,0.1786,0.2559,3,2,18,0.383958,0,
U000124,2023-05-19,774,passive,individual,tablet,LATAM,35_44,bundle,1,10,6,362.74,39.81,0.8717,0.2387,0.3305,0.2696,2,5,15,0.03911,0,
U000125,2024-01-26,522,power,individual,mobile,US,25_34,bundle,5,32,18,1649.75,47.64,0.7539,0.3808,0.8514,1.0,10,13,3,0.000227,0,
U000126,2025-03-25,98,casual,family,mobile,LATAM,35_44,standalone,3,8,5,229.14,25.99,0.688,0.2773,0.3863,0.6524,9,6,6,0.013356,0,
U000127,2023-08-05,696,casual,student,tv,LATAM,45_54,standalone,3,11,8,376.11,34.02,0.6382,0.3516,0.2967,0.3385,4,1,10,0.017202,0,
U000128,2024-01-18,530,at_risk,student,tv,LATAM,25_34,standalone,1,5,6,221.93,38.44,0.5356,0.5273,0.419,0.0798,0,3,1,0.330553,1,2025-07-29
U000129,2023-11-27,582,at_risk,individual,tv,EU,25_34,standalone,2,4,5,107.37,30.68,0.5076,0.5651,0.0557,0.2546,3,2,3,0.471772,1,2025-07-13
U000130,2024-01-26,522,casual,family,mobile,LATAM,35_44,bundle,4,13,7,521.2,34.18,0.8507,0.1057,0.5599,0.5976,7,2,24,0.007048,0,
U000131,2024-02-05,512,power,student,desktop,EU,25_34,standalone,4,24,15,1745.13,69.06,0.9289,0.1525,0.8388,0.7185,4,7,5,0.00084,0,
U000132,2025-03-15,108,casual,family,mobile,LATAM,35_44,bundle,3,17,14,742.8,39.08,0.8544,0.2023,0.6142,0.4349,9,1,1,0.002811,0,
U000133,2024-01-31,517,casual,individual,tv,US,18_24,bundle,2,22,18,1154.56,49.81,0.6571,0.3892,0.7045,0.291,7,2,0,0.010274,0,
U000134,2023-07-10,722,at_risk,individual,tablet,US,35_44,bundle,2,6,4,209.9,37.96,0.5419,0.6157,0.5137,0.0,3,0,37,0.775125,1,2025-07-20
U000135,2024-09-10,294,casual,individual,tv,LATAM,18_24,standalone,2,7,4,442.1,56.17,0.7371,0.3881,0.6301,0.4404,4,7,4,0.014225,0,
U000136,2023-12-24,555,power,student,tablet,US,45_54,standalone,4,24,15,1110.4,42.84,0.99,0.01,0.6101,0.7183,15,1,3,0.000182,0,
U000137,2025-05-06,56,power,individual,tablet,LATAM,18_24,standalone,3,18,10,952.55,65.62,0.8701,0.1166,0.6801,0.8159,11,3,1,0.0009,0,
U000138,2024-08-03,332,casual,family,tablet,EU,35_44,bundle,3,15,11,690.17,42.53,0.5907,0.4611,0.6964,0.5472,8,6,16,0.0116,0,
U000139,2024-05-17,410,at_risk,individual,tablet,EU,35_44,standalone,4,6,1,131.51,19.53,0.3869,0.5983,0.5315,0.2001,2,0,3,0.41113,0,
U000140,2023-01-28,885,passive,individual,mobile,LATAM,25_34,bundle,2,11,6,391.43,40.7,0.7534,0.2079,0.5866,0.346,3,3,12,0.029896,0,
U000141,2024-11-27,216,passive,premium,mobile,US,35_44,standalone,2,7,8,235.07,30.83,0.5957,0.4516,0.4275,0.3563,3,2,37,0.324811,0,
U000142,2024-10-04,270,casual,student,tablet,APAC,45_54,bundle,4,9,5,197.45,26.16,0.9861,0.0376,0.7081,0.3112,3,2,27,0.027733,0,
U000143,2024-06-11,385,at_risk,individual,tv,LATAM,18_24,standalone,2,6,4,261.53,38.16,0.4624,0.6082,0.4088,0.1824,0,1,30,0.648492,1,2025-07-04
U000144,2023-01-19,894,casual,individual,tv,LATAM,35_44,bundle,2,16,8,611.52,50.99,0.5685,0.4947,0.5702,0.5746,10,6,11,0.018787,0,
U000145,2023-05-20,773,at_risk,student,mobile,EU,25_34,bundle,2,8,2,143.04,16.52,0.4473,0.6217,0.104,0.0,2,1,24,0.675144,1,2025-07-06
U000146,2025-05-02,60,at_risk,premium,mobile,LATAM,35_44,standalone,3,2,5,56.79,24.48,0.5228,0.561,0.3737,0.1579,1,1,27,0.83316,1,2025-07-23
U000147,2024-11-10,233,casual,premium,mobile,US,45_54,bundle,4,12,8,312.57,31.45,0.7459,0.2807,0.5708,0.4998,5,3,12,0.004194,0,
U000148,2023-06-17,745,at_risk,individual,desktop,LATAM,35_44,bundle,2,5,1,172.98,34.55,0.3477,0.7146,0.1739,0.1042,2,0,5,0.63562,1,2025-07-27
U000149,2025-04-12,80,casual,premium,mobile,US,18_24,standalone,3,10,8,382.8,33.51,0.6078,0.4509,0.4323,0.5891,11,2,3,0.010092,0,
U000150,2023-05-18,775,passive,student,mobile,LATAM,25_34,bundle,2,11,9,158.74,17.55,0.4077,0.7215,0.5258,0.0672,1,2,12,0.206864,0,
U000151,2024-09-29,275,power,premium,mobile,LATAM,35_44,bundle,5,21,15,704.95,34.68,0.6726,0.4162,0.7167,0.843,13,9,0,0.000937,0,
U000152,2023-03-25,829,casual,family,tv,EU,18_24,standalone,3,13,7,430.39,33.42,0.6991,0.3506,0.7309,0.3125,4,3,31,0.055547,0,
U000153,2024-09-19,285,casual,individual,mobile,US,35_44,standalone,4,10,7,749.74,60.22,0.638,0.4215,0.7855,0.367,3,5,11,0.016178,0,
U000154,2024-05-19,408,power,individual,tv,LATAM,35_44,bundle,4,31,12,1690.4,45.1,0.8614,0.2377,0.9227,0.6878,8,5,3,0.000316,0,
U000155,2023-11-03,606,power,family,mobile,US,45_54,bundle,5,23,10,939.71,49.4,0.9651,0.1242,0.7394,0.8877,15,13,2,0.000265,0,
U000156,2025-02-12,139,casual,individual,mobile,LATAM,18_24,standalone,4,8,7,458.13,57.22,0.5691,0.4614,0.4524,0.3221,6,7,0,0.018356,0,
U000157,2024-02-02,515,passive,individual,mobile,LATAM,35_44,standalone,2,10,3,281.8,30.71,0.447,0.5051,0.05,0.2715,2,2,11,0.265476,0,
U000158,2024-03-19,469,casual,family,mobile,US,25_34,standalone,3,9,6,450.48,51.39,0.6626,0.5233,0.6887,0.6614,7,4,5,0.016553,0,
U000159,2023-07-20,712,casual,student,tablet,APAC,25_34,standalone,3,9,5,348.24,33.53,0.7103,0.2781,0.4566,0.429,3,1,3,0.012355,0,
U000160,2023-01-16,897,at_risk,student,desktop,LATAM,35_44,standalone,3,7,4,108.96,14.34,0.7702,0.2345,0.3357,0.2416,1,0,22,0.383374,0,
U000161,2023-11-01,608,at_risk,individual,tablet,EU,35_44,standalone,3,4,4,110.54,28.46,0.4138,0.6217,0.05,0.1954,3,0,4,0.452815,1,2025-07-05
U000162,2024-06-10,386,power,family,tablet,US,25_34,standalone,5,31,13,1481.96,47.61,0.9255,0.1141,0.5306,0.4333,10,4,13,0.000257,0,
U000163,2024-06-13,383,casual,individual,mobile,LATAM,45_54,bundle,4,20,13,482.4,25.13,0.6357,0.4104,0.5371,0.4921,5,7,3,0.005074,0,
