user_id,signup_date,tenure_days,behavioral_segment,plan,primary_device,region,age_group,bundle_type,num_services
U000063,2023-02-10,872,power,student,mobile,APAC,25_34,standalone,4
U000064,2024-06-09,387,at_risk,individual,tv,EU,35_44,standalone,3
U000065,2024-08-22,313,casual,family,tv,US,55_plus,standalone,3
U000066,2023-04-05,818,passive,family,mobile,US,18_24,bundle,3
U000067,2024-07-14,352,casual,family,mobile,LATAM,35_44,standalone,1
U000068,2025-03-27,96,casual,student,desktop,LATAM,18_24,standalone,1
U000069,2024-04-19,438,casual,individual,mobile,LATAM,35_44,bundle,2
U000070,2023-07-09,723,casual,student,mobile,EU,25_34,standalone,3
U000071,2024-12-18,195,casual,premium,mobile,APAC,55_plus,standalone,2
U000072,2024-04-24,433,casual,student,mobile,US,25_34,standalone,2
U000073,2025-02-08,143,casual,family,tv,LATAM,55_plus,bundle,3
U000074,2023-10-13,627,at_risk,individual,mobile,US,18_24,standalone,1
U000075,2024-04-13,444,casual,family,tv,US,45_54,standalone,1
U000076,2024-08-18,317,casual,individual,mobile,LATAM,25_34,standalone,2
U000077,2024-11-16,227,power,family,mobile,LATAM,25_34,bundle,3
U000078,2024-01-27,521,casual,family,tablet,LATAM,45_54,standalone,3
U000079,2023-10-27,613,passive,student,tv,LATAM,25_34,bundle,3
U000080,2023-03-05,849,power,individual,mobile,EU,35_44,standalone,4
U000081,2024-05-17,410,passive,individual,mobile,LATAM,35_44,bundle,1
U000082,2025-01-13,169,casual,individual,tv,US,25_34,standalone,4
U000083,2023-06-07,755,power,family,tablet,LATAM,18_24,bundle,4
U000084,2023-12-01,578,at_risk,individual,tv,LATAM,55_plus,standalone,2
U000085,2023-10-01,639,casual,family,tablet,EU,35_44,standalone,3
U000086,2025-03-09,114,passive,student,mobile,US,45_54,standalone,1
U000087,2024-09-02,302,casual,family,desktop,EU,45_54,standalone,3
U000088,2023-08-03,698,at_risk,student,mobile,US,45_54,standalone,1
U000089,2023-06-08,754,casual,individual,mobile,EU,35_44,standalone,4
U000090,2024-05-18,409,casual,individual,tv,LATAM,18_24,standalone,3
U000091,2023-07-02,730,passive,family,mobile,US,45_54,standalone,2
U000092,2023-05-30,763,casual,individual,mobile,LATAM,45_54,standalone,3
U000093,2024-06-29,367,casual,family,mobile,EU,35_44,standalone,2
U000094,2023-04-11,812,at_risk,individual,tablet,US,45_54,standalone,3
U000095,2024-09-23,281,passive,premium,tablet,LATAM,18_24,bundle,1
U000096,2024-11-05,238,passive,family,tv,US,25_34,standalone,1
U000097,2023-10-16,624,passive,family,mobile,EU,18_24,bundle,2
U000098,2023-11-25,584,at_risk,family,mobile,LATAM,35_44,standalone,1
U000099,2025-01-31,151,at_risk,individual,tablet,US,25_34,standalone,2
U000100,2023-06-07,755,passive,family,tv,EU,18_24,bundle,2
U000101,2024-12-09,204,casual,individual,tv,LATAM,35_44,bundle,3
U000102,2023-07-01,731,power,family,mobile,US,25_34,bundle,4
U000103,2025-05-26,36,passive,student,mobile,EU,25_34,standalone,1
U000104,2023-07-08,724,at_risk,individual,mobile,LATAM,25_34,bundle,2
U000105,2023-07-17,715,casual,family,tv,LATAM,18_24,bundle,2
U000106,2023-07-23,709,power,individual,tablet,US,25_34,standalone,4
U000107,2023-10-31,609,casual,individual,desktop,US,25_34,standalone,2
U000108,2024-04-17,440,casual,individual,mobile,EU,25_34,bundle,2
U000109,2023-09-26,644,at_risk,family,mobile,US,25_34,standalone,1
U000110,2024-10-03,271,power,individual,tablet,US,55_plus,standalone,2
U000111,2023-07-22,710,passive,individual,mobile,LATAM,18_24,standalone,3
U000112,2024-02-04,513,passive,premium,tv,LATAM,25_34,standalone,3
U000113,2024-04-28,429,at_risk,premium,tv,US,45_54,standalone,1
U000114,2024-03-18,470,power,student,mobile,LATAM,25_34,standalone,4
U000115,2024-01-23,525,at_risk,individual,mobile,APAC,25_34,standalone,2
U000116,2025-04-30,62,passive,student,mobile,LATAM,45_54,standalone,1
U000117,2025-01-31,151,passive,premium,tv,LATAM,18_24,standalone,1
U000118,2024-10-31,243,power,individual,mobile,EU,55_plus,bundle,4
U000119,2025-02-22,129,casual,individual,mobile,LATAM,25_34,bundle,3
U000120,2024-05-15,412,passive,individual,mobile,LATAM,45_54,standalone,3
U000121,2023-10-28,612,casual,individual,tablet,APAC,55_plus,standalone,2
U000122,2023-11-09,600,casual,student,desktop,EU,45_54,bundle,3
U000123,2024-04-17,440,passive,family,desktop,LATAM,25_34,bundle,2
U000124,2023-05-19,774,passive,individual,tablet,LATAM,35_44,bundle,1
U000125,2024-01-26,522,power,individual,mobile,US,25_34,bundle,5
U000126,2025-03-25,98,casual,family,mobile,LATAM,35_44,standalone,3
U000127,2023-08-05,696,casual,student,tv,LATAM,45_54,standalone,3
U000128,2024-01-18,530,at_risk,student,tv,LATAM,25_34,standalone,1
U000129,2023-11-27,582,at_risk,individual,tv,EU,25_34,standalone,2
U000130,2024-01-26,522,casual,family,mobile,LATAM,35_44,bundle,4
U000131,2024-02-05,512,power,student,desktop,EU,25_34,standalone,4
U000132,2025-03-15,108,casual,family,mobile,LATAM,35_44,bundle,3
U000133,2024-01-31,517,casual,individual,tv,US,18_24,bundle,2
U000134,2023-07-10,722,at_risk,individual,tablet,US,35_44,bundle,2
U000135,2024-09-10,294,casual,individual,tv,LATAM,18_24,standalone,2
U000136,2023-12-24,555,power,student,tablet,US,45_54,standalone,4
U000137,2025-05-06,56,power,individual,tablet,LATAM,18_24,standalone,3
U000138,2024-08-03,332,casual,family,tablet,EU,35_44,bundle,3
U000139,2024-05-17,410,at_risk,individual,tablet,EU,35_44,standalone,4
U000140,2023-01-28,885,passive,individual,mobile,LATAM,25_34,bundle,2
U000141,2024-11-27,216,passive,premium,mobile,US,35_44,standalone,2
U000142,2024-10-04,270,casual,student,tablet,APAC,45_54,bundle,4
U000143,2024-06-11,385,at_risk,individual,tv,LATAM,18_24,standalone,2
U000144,2023-01-19,894,casual,individual,tv,LATAM,35_44,bundle,2
U000145,2023-05-20,773,at_risk,student,mobile,EU,25_34,bundle,2
U000146,2025-05-02,60,at_risk,premium,mobile,LATAM,35_44,standalone,3
U000147,2024-11-10,233,casual,premium,mobile,US,45_54,bundle,4
U000148,2023-06-17,745,at_risk,individual,desktop,LATAM,35_44,bundle,2
U000149,2025-04-12,80,casual,premium,mobile,US,18_24,standalone,3
U000150,2023-05-18,775,passive,student,mobile,LATAM,25_34,bundle,2
U000151,2024-09-29,275,power,premium,mobile,LATAM,35_44,bundle,5
U000152,2023-03-25,829,casual,family,tv,EU,18_24,standalone,3
U000153,2024-09-19,285,casual,individual,mobile,US,35_44,standalone,4
U000154,2024-05-19,408,power,individual,tv,LATAM,35_44,bundle,4
U000155,2023-11-03,606,power,family,mobile,US,45_54,bundle,5
U000156,2025-02-12,139,casual,individual,mobile,LATAM,18_24,standalone,4
U000157,2024-02-02,515,passive,individual,mobile,LATAM,35_44,standalone,2
U000158,2024-03-19,469,casual,family,mobile,US,25_34,standalone,3
U000159,2023-07-20,712,casual,student,tablet,APAC,25_34,standalone,3
U000160,2023-01-16,897,at_risk,student,desktop,LATAM,35_44,standalone,3
U000161,2023-11-01,608,at_risk,individual,tablet,EU,35_44,standalone,3
U000162,2024-06-10,386,power,family,tablet,US,25_34,standalone,5
U000163,2024-06-13,383,casual,individual,mobile,LATAM,45_54,bundle,4
U000164,2024-06-02,394,passive,individual,desktop,US,18_24,bundle,2
U000165,2023-06-23,739,passive,student,tv,LATAM,25_34,bundle,1
U000166,2024-08-26,309,casual,student,tablet,EU,25_34,standalone,2
U000167,2025-01-07,175,passive,family,tv,US,18_24,standalone,2
U000168,2024-08-14,321,power,student,mobile,LATAM,25_34,bundle,5
U000169,2025-05-13,49,casual,family,mobile,LATAM,35_44,standalone,2
U000170,2025-03-01,122,passive,individual,mobile,LATAM,35_44,standalone,2
U000171,2025-03-15,108,passive,family,mobile,LATAM,25_34,bundle,3
U000172,2023-07-30,702,at_risk,individual,tv,APAC,25_34,standalone,2
U000173,2023-09-11,659,power,family,desktop,EU,25_34,standalone,4
U000174,2023-10-04,636,power,student,mobile,EU,18_24,bundle,5
U000175,2024-04-25,432,power,premium,tv,US,35_44,standalone,4
U000176,2023-09-16,654,power,individual,tv,LATAM,45_54,standalone,3
U000177,2025-01-12,170,power,student,mobile,EU,45_54,bundle,4
U000178,2023-04-09,814,casual,individual,mobile,LATAM,25_34,standalone,3
U000179,2024-03-22,466,casual,individual,mobile,LATAM,25_34,standalone,5
U000180,2023-03-07,847,passive,individual,tv,LATAM,35_44,standalone,3
U000181,2025-01-20,162,casual,family,mobile,APAC,45_54,bundle,5
U000182,2024-03-25,463,power,family,mobile,EU,18_24,standalone,3
U000183,2023-10-04,636,passive,family,mobile,LATAM,18_24,bundle,3
U000184,2024-03-27,461,power,premium,tablet,APAC,55_plus,standalone,5
U000185,2024-05-09,418,at_risk,individual,tablet,EU,18_24,bundle,2
U000186,2025-01-08,174,power,student,mobile,US,55_plus,bundle,4
U000187,2024-07-05,361,casual,family,tv,LATAM,35_44,standalone,3
U000188,2024-11-06,237,at_risk,individual,desktop,LATAM,25_34,bundle,2
U000189,2024-09-12,292,passive,student,mobile,LATAM,18_24,standalone,1
U000190,2023-10-15,625,passive,student,mobile,US,45_54,standalone,1
U000191,2023-12-01,578,passive,individual,mobile,US,18_24,standalone,1
U000192,2023-12-21,558,power,individual,mobile,LATAM,25_34,bundle,4
U000193,2024-07-21,345,passive,individual,tablet,LATAM,18_24,standalone,3
U000194,2023-02-17,865,at_risk,individual,tablet,US,18_24,bundle,1
U000195,2025-03-17,106,at_risk,family,tv,EU,35_44,bundle,3
U000196,2024-08-07,328,casual,premium,mobile,LATAM,25_34,standalone,3
U000197,2025-02-19,132,casual,student,tablet,US,35_44,standalone,3
U000198,2024-08-10,325,passive,student,mobile,APAC,35_44,bundle,3
U000199,2023-02-15,867,casual,individual,mobile,EU,25_34,standalone,3
U000200,2024-07-17,349,casual,student,mobile,LATAM,35_44,standalone,4
U000201,2023-04-02,821,power,individual,tablet,US,25_34,standalone,4
U000202,2024-03-27,461,power,family,tv,EU,45_54,standalone,3
U000203,2023-10-01,639,casual,family,tv,EU,25_34,bundle,4
U000204,2024-04-29,428,power,individual,tv,LATAM,35_44,standalone,3
U000205,2024-10-13,261,power,family,mobile,LATAM,45_54,bundle,4
U000206,2023-08-06,695,power,family,mobile,LATAM,45_54,bundle,5
U000207,2023-02-08,874,at_risk,premium,tablet,LATAM,18_24,bundle,3
U000208,2024-10-15,259,power,individual,desktop,US,25_34,bundle,3
U000209,2023-07-24,708,power,family,tv,LATAM,45_54,standalone,4
U000210,2024-10-17,257,casual,family,mobile,US,45_54,standalone,3
U000211,2023-09-16,654,casual,individual,desktop,US,35_44,standalone,3
U000212,2023-07-15,717,at_risk,family,mobile,US,18_24,bundle,2
U000213,2024-05-06,421,at_risk,family,mobile,LATAM,25_34,bundle,1
U000214,2023-08-30,671,casual,individual,mobile,LATAM,55_plus,standalone,2
U000215,2024-10-07,267,casual,individual,mobile,LATAM,18_24,bundle,2
U000216,2025-03-24,99,casual,individual,tv,APAC,45_54,standalone,4
U000217,2025-03-10,113,power,family,tv,LATAM,25_34,bundle,3
U000218,2024-05-08,419,casual,student,mobile,LATAM,35_44,standalone,3
U000219,2023-04-07,816,power,individual,mobile,LATAM,18_24,standalone,5
U000220,2025-02-10,141,power,student,tv,US,18_24,standalone,4
U000221,2024-05-01,426,passive,family,mobile,US,25_34,bundle,3
U000222,2023-09-27,643,power,family,mobile,APAC,45_54,bundle,3
U000223,2024-12-07,206,power,individual,mobile,LATAM,35_44,standalone,4
U000224,2023-09-12,658,casual,individual,tablet,LATAM,35_44,standalone,4
U000225,2024-09-08,296,casual,individual,desktop,EU,55_plus,standalone,4
U000226,2023-06-28,734,power,individual,mobile,LATAM,25_34,standalone,5
U000227,2024-01-14,534,power,family,tv,LATAM,45_54,bundle,3
U000228,2024-02-11,506,power,student,tablet,APAC,18_24,standalone,5
U000229,2024-12-30,183,casual,family,mobile,US,18_24,standalone,3
U000230,2024-04-24,433,at_risk,family,desktop,LATAM,25_34,standalone,2
U000231,2023-05-17,776,at_risk,premium,tv,APAC,55_plus,bundle,2
U000232,2025-05-15,47,casual,individual,tv,LATAM,35_44,standalone,3
U000233,2023-08-11,690,casual,individual,tv,LATAM,18_24,standalone,2
U000234,2024-03-29,459,passive,student,mobile,LATAM,55_plus,standalone,2
U000235,2023-09-14,656,passive,premium,tablet,LATAM,45_54,bundle,3
U000236,2023-11-02,607,power,family,tv,LATAM,35_44,bundle,5
U000237,2024-05-21,406,power,family,mobile,EU,35_44,standalone,4
U000238,2024-09-06,298,casual,family,tv,APAC,25_34,standalone,2
U000239,2023-12-03,576,passive,individual,desktop,US,18_24,bundle,1
U000240,2025-01-30,152,power,family,tablet,APAC,35_44,standalone,3
U000241,2024-01-10,538,casual,family,tv,LATAM,18_24,standalone,4
U000242,2025-03-11,112,casual,student,mobile,LATAM,35_44,standalone,3
U000243,2023-11-13,596,casual,premium,mobile,LATAM,35_44,standalone,3
U000244,2023-12-02,577,casual,premium,mobile,US,35_44,standalone,3
U000245,2025-03-20,103,passive,premium,tablet,LATAM,45_54,standalone,3
U000246,2023-08-12,689,casual,family,tablet,LATAM,25_34,standalone,2
U000247,2024-06-04,392,casual,individual,desktop,APAC,25_34,standalone,2
U000248,2023-07-17,715,power,individual,mobile,LATAM,18_24,standalone,4
U000249,2025-04-26,66,at_risk,student,desktop,US,25_34,bundle,2
U000250,2024-12-27,186,casual,family,desktop,LATAM,18_24,standalone,4
U000251,2024-03-28,460,power,student,tv,US,18_24,bundle,5
U000252,2024-12-20,193,casual,premium,desktop,US,25_34,bundle,2
U000253,2024-08-18,317,at_risk,individual,mobile,LATAM,25_34,standalone,1
U000254,2023-11-04,605,passive,student,mobile,LATAM,55_plus,bundle,2
U000255,2025-01-27,155,at_risk,student,mobile,US,18_24,standalone,1
U000256,2023-10-20,620,passive,family,mobile,US,18_24,standalone,2
U000257,2025-03-03,120,casual,student,mobile,LATAM,45_54,bundle,4
U000258,2024-12-31,182,casual,student,tv,LATAM,18_24,standalone,2
U000259,2024-01-07,541,power,student,mobile,LATAM,35_44,bundle,4
U000260,2023-07-11,721,passive,individual,mobile,LATAM,35_44,bundle,3
U000261,2025-01-04,178,passive,premium,mobile,EU,35_44,bundle,2
U000262,2024-09-13,291,power,individual,tv,LATAM,25_34,standalone,4
U000263,2023-03-19,835,at_risk,individual,desktop,LATAM,18_24,bundle,1
U000264,2023-01-21,892,casual,student,mobile,US,55_plus,bundle,3
U000265,2024-01-12,536,power,student,tablet,EU,45_54,standalone,4
U000266,2024-05-08,419,casual,individual,desktop,LATAM,35_44,standalone,4
U000267,2024-08-03,332,at_risk,student,tv,US,18_24,bundle,3
U000268,2023-12-16,563,at_risk,student,tv,US,25_34,standalone,2
U000269,2024-01-04,544,casual,student,tv,LATAM,35_44,bundle,1
U000270,2024-09-18,286,at_risk,individual,desktop,LATAM,18_24,standalone,1
U000271,2025-05-13,49,at_risk,family,mobile,EU,55_plus,bundle,3
U000272,2025-01-21,161,at_risk,student,tablet,LATAM,55_plus,standalone,2
U000273,2023-02-18,864,at_risk,family,mobile,LATAM,18_24,standalone,1
U000274,2024-06-02,394,casual,family,mobile,US,18_24,bundle,2
U000275,2024-04-07,450,passive,premium,tv,LATAM,25_34,standalone,2
U000276,2024-04-21,436,passive,student,tablet,LATAM,25_34,bundle,2
U000277,2023-07-21,711,passive,family,tablet,LATAM,25_34,standalone,3
U000278,2025-04-06,86,power,premium,desktop,LATAM,35_44,standalone,4
U000279,2025-03-21,102,passive,premium,tablet,US,25_34,bundle,2
U000280,2024-10-04,270,at_risk,family,tv,LATAM,18_24,standalone,2
U000281,2024-04-04,453,casual,student,desktop,LATAM,25_34,standalone,4
U000282,2023-10-26,614,at_risk,premium,mobile,US,25_34,standalone,4
U000283,2024-03-31,457,casual,family,mobile,US,35_44,standalone,4
U000284,2024-05-13,414,power,individual,mobile,US,55_plus,bundle,5
U000285,2023-03-08,846,power,student,tv,LATAM,18_24,standalone,4
U000286,2025-01-12,170,passive,premium,tv,LATAM,45_54,standalone,1
U000287,2024-01-21,527,passive,student,tablet,APAC,25_34,standalone,1
U000288,2024-02-15,502,casual,family,mobile,LATAM,35_44,standalone,4
U000289,2024-04-15,442,passive,individual,tablet,LATAM,25_34,bundle,2
U000290,2023-06-29,733,casual,family,tv,US,25_34,standalone,3
U000291,2024-10-12,262,casual,student,desktop,EU,25_34,standalone,2
U000292,2023-02-22,860,at_risk,family,mobile,APAC,45_54,standalone,3
U000293,2024-08-17,318,passive,individual,tv,LATAM,18_24,standalone,3
U000294,2024-02-13,504,passive,premium,tablet,APAC,25_34,bundle,2
U000295,2024-03-05,483,passive,student,tv,LATAM,35_44,bundle,2
U000296,2023-05-23,770,at_risk,student,mobile,EU,35_44,standalone,3
U000297,2024-05-15,412,casual,student,mobile,LATAM,18_24,standalone,4
U000298,2024-09-27,277,casual,student,mobile,APAC,18_24,bundle,1
U000299,2025-05-14,48,power,premium,tv,EU,35_44,standalone,5
U000300,2024-07-20,346,passive,student,tv,EU,25_34,standalone,2
U000301,2023-06-13,749,passive,individual,tv,US,18_24,bundle,2
U000302,2025-05-24,38,passive,family,tv,LATAM,25_34,bundle,1
U000303,2023-04-13,810,casual,individual,mobile,LATAM,35_44,standalone,2
U000304,2024-02-15,502,power,individual,mobile,LATAM,55_plus,standalone,1
U000305,2025-01-30,152,passive,family,tablet,US,35_44,bundle,1
U000306,2024-09-11,293,at_risk,individual,tablet,LATAM,45_54,standalone,1
U000307,2024-02-05,512,casual,family,tv,LATAM,35_44,standalone,2
U000308,2024-08-31,304,power,family,tablet,LATAM,25_34,standalone,4
U000309,2025-02-27,124,casual,individual,desktop,EU,55_plus,bundle,2
U000310,2023-10-30,610,casual,individual,desktop,LATAM,18_24,standalone,4
U000311,2023-10-25,615,casual,premium,tv,US,45_54,bundle,5
U000312,2025-02-18,133,casual,individual,mobile,LATAM,25_34,bundle,3
U000313,2024-09-30,274,passive,family,mobile,LATAM,35_44,standalone,3
U000314,2024-11-01,242,casual,individual,tv,US,55_plus,bundle,1
U000315,2023-11-05,604,casual,individual,mobile,LATAM,45_54,standalone,3
U000316,2023-09-04,666,power,family,mobile,US,45_54,bundle,3
U000317,2023-09-07,663,at_risk,student,mobile,LATAM,45_54,standalone,1
U000318,2023-03-07,847,casual,individual,desktop,APAC,25_34,standalone,2
U000319,2023-08-02,699,casual,student,mobile,LATAM,25_34,bundle,3
U000320,2024-08-26,309,power,family,tablet,LATAM,35_44,bundle,4
U000321,2025-02-28,123,passive,family,desktop,APAC,25_34,standalone,2
U000322,2023-12-14,565,at_risk,individual,tv,EU,25_34,standalone,1
U000323,2023-03-27,827,power,student,mobile,LATAM,18_24,standalone,4
U000324,2023-02-03,879,power,premium,tablet,LATAM,45_54,bundle,3
U000325,2024-11-13,230,power,individual,tv,LATAM,35_44,bundle,4
U000326,2024-11-08,235,passive,individual,mobile,US,18_24,standalone,2
U000327,2025-04-30,62,at_risk,student,tv,LATAM,35_44,standalone,1
U000328,2025-01-29,153,casual,individual,mobile,LATAM,45_54,bundle,2
U000329,2024-02-04,513,casual,individual,tv,US,45_54,bundle,3
U000330,2024-02-11,506,passive,family,desktop,LATAM,25_34,bundle,3
U000331,2024-07-13,353,passive,family,tv,EU,35_44,bundle,1
U000332,2024-09-05,299,casual,student,desktop,LATAM,25_34,standalone,2
U000333,2023-06-10,752,power,individual,mobile,APAC,45_54,standalone,3
U000334,2024-04-27,430,casual,individual,tablet,US,45_54,standalone,4
U000335,2023-06-29,733,passive,student,tablet,APAC,18_24,standalone,2
U000336,2023-02-14,868,passive,family,mobile,EU,25_34,bundle,1
U000337,2024-08-29,306,passive,individual,desktop,LATAM,18_24,bundle,2
U000338,2024-12-07,206,at_risk,premium,desktop,LATAM,25_34,bundle,3
U000339,2023-02-23,859,casual,individual,mobile,LATAM,18_24,standalone,3
U000340,2023-11-27,582,casual,individual,tablet,US,45_54,bundle,2
U000341,2024-09-21,283,power,premium,mobile,LATAM,25_34,bundle,5
U000342,2023-12-08,571,at_risk,individual,mobile,US,35_44,standalone,2
U000343,2024-03-10,478,passive,student,mobile,EU,35_44,standalone,2
U000344,2023-04-05,818,casual,individual,tv,LATAM,35_44,bundle,4
U000345,2024-10-22,252,power,premium,mobile,US,25_34,standalone,4
U000346,2023-01-20,893,passive,individual,mobile,EU,45_54,bundle,2
U000347,2023-03-09,845,passive,individual,desktop,EU,35_44,standalone,3
U000348,2024-12-26,187,passive,individual,tv,LATAM,25_34,standalone,2
U000349,2025-01-09,173,casual,individual,tablet,LATAM,18_24,bundle,2
U000350,2024-02-23,494,at_risk,student,mobile,US,45_54,standalone,2
U000351,2025-04-23,69,passive,individual,mobile,LATAM,18_24,standalone,3
U000352,2024-09-14,290,passive,premium,tablet,US,18_24,standalone,1
U000353,2024-05-19,408,passive,family,mobile,APAC,25_34,standalone,3
U000354,2023-02-08,874,at_risk,student,mobile,LATAM,55_plus,standalone,2
U000355,2023-01-19,894,at_risk,individual,desktop,LATAM,35_44,bundle,2
U000356,2025-01-21,161,passive,student,mobile,LATAM,45_54,standalone,1
U000357,2023-04-17,806,casual,individual,tv,APAC,25_34,standalone,4
U000358,2025-03-14,109,casual,family,tv,LATAM,45_54,standalone,3
U000359,2023-08-19,682,at_risk,individual,mobile,LATAM,25_34,bundle,1
U000360,2023-05-27,766,passive,family,tv,US,55_plus,standalone,2
U000361,2023-04-18,805,power,individual,mobile,LATAM,35_44,bundle,5
U000362,2024-11-19,224,power,family,mobile,LATAM,35_44,bundle,5
U000363,2023-04-15,808,at_risk,premium,mobile,US,55_plus,standalone,1
U000364,2025-02-20,131,at_risk,family,tv,US,55_plus,standalone,3
U000365,2024-03-07,481,at_risk,premium,tv,LATAM,18_24,bundle,1
U000366,2024-04-19,438,casual,family,desktop,LATAM,25_34,standalone,3
U000367,2024-08-30,305,passive,individual,tablet,US,35_44,bundle,1
U000368,2025-05-13,49,at_risk,individual,mobile,LATAM,18_24,bundle,3
U000369,2023-07-30,702,casual,individual,desktop,APAC,25_34,bundle,2
U000370,2024-08-13,322,power,premium,tablet,LATAM,18_24,standalone,3
U000371,2023-11-03,606,at_risk,student,mobile,LATAM,35_44,standalone,2
U000372,2024-06-09,387,power,premium,mobile,US,35_44,standalone,4
U000373,2024-07-11,355,passive,individual,mobile,US,18_24,standalone,3
U000374,2023-04-22,801,passive,family,mobile,LATAM,35_44,bundle,2
U000375,2025-03-11,112,passive,individual,tv,US,25_34,standalone,1
U000376,2023-08-30,671,casual,premium,mobile,APAC,55_plus,bundle,3
U000377,2023-08-21,680,passive,student,desktop,LATAM,18_24,bundle,3
U000378,2024-07-06,360,casual,individual,tv,LATAM,45_54,standalone,2
U000379,2024-10-16,258,at_risk,premium,mobile,LATAM,55_plus,bundle,3
U000380,2025-05-28,34,casual,individual,desktop,LATAM,35_44,bundle,3
U000381,2023-03-09,845,passive,individual,tv,LATAM,35_44,standalone,4
