user_id,sessions_last_30d,active_days_last_30d,watch_time_last_30d,avg_session_duration_min,completion_rate,skip_rate,content_diversity_score,feature_usage_score,search_activity_last_30d,watchlist_additions_last_30d,days_since_last_session
U000067,8,5,303.64,39.47,0.7248,0.3858,0.3878,0.505,4,7,4
U000068,14,5,665.11,42.56,0.7825,0.3103,0.6084,0.6763,3,2,1
U000069,23,12,678.78,48.91,0.7148,0.308,0.7099,0.4443,8,3,6
U000070,11,9,402.26,33.64,0.76,0.3078,0.2618,0.4593,7,3,3
U000071,11,6,113.35,14.27,0.5326,0.5612,0.5786,0.6181,10,4,5
U000072,5,3,31.54,7.02,0.8093,0.2846,0.8575,0.4613,9,1,18
U000073,7,8,307.46,50.25,0.9116,0.0341,0.4667,0.4139,11,7,2
U000074,6,1,51.42,8.85,0.4139,0.6287,0.0743,0.1171,1,1,1
U000075,15,8,905.42,67.25,0.5385,0.4816,0.4618,0.6653,12,4,0
U000076,7,3,405.33,49.67,0.7699,0.1822,0.5883,0.6249,4,3,3
U000077,14,3,390.0,37.46,0.9102,0.1554,0.6784,0.5848,16,4,11
U000078,20,8,951.87,69.11,0.7036,0.2659,0.5815,0.2859,7,3,6
U000079,9,6,276.66,33.91,0.4164,0.579,0.3158,0.4022,2,4,33
U000080,18,8,720.82,47.24,0.8149,0.2843,0.7812,0.9022,10,10,3
U000081,9,10,179.62,30.06,0.5873,0.5431,0.404,0.1363,2,2,2
U000082,3,1,122.0,37.36,0.7053,0.3738,0.5874,0.6503,2,2,5
U000083,31,15,1563.08,49.86,0.99,0.0681,0.6101,0.5881,10,7,4
U000084,4,5,123.21,35.45,0.4687,0.5596,0.2975,0.1873,2,0,14
U000085,18,10,985.26,45.86,0.7378,0.3277,0.6489,0.4043,7,1,4
U000086,6,8,186.17,25.23,0.5626,0.605,0.5325,0.2073,3,4,2
U000087,12,4,621.22,46.11,0.8016,0.3311,0.5825,0.2514,8,6,6
U000088,3,2,36.34,14.46,0.4895,0.5468,0.2328,0.0369,1,1,53
U000089,20,16,457.26,18.24,0.7038,0.4127,0.6259,0.3065,7,5,0
U000090,19,16,572.44,50.81,0.9661,0.01,0.244,0.3656,4,5,3
U000091,12,8,462.49,27.1,0.5655,0.5986,0.2818,0.2419,1,1,33
U000092,22,14,1192.07,53.46,0.8213,0.2924,0.3946,0.5717,6,4,2
U000093,15,14,591.12,37.47,0.8375,0.221,0.5736,0.5914,4,6,4
U000094,6,4,185.24,33.86,0.5641,0.419,0.05,0.312,2,2,3
U000095,9,6,348.4,40.93,0.6823,0.3465,0.7673,0.4711,3,2,14
U000096,7,1,371.79,43.01,0.6312,0.3491,0.4216,0.454,2,2,1
U000097,14,9,467.52,35.26,0.6235,0.4067,0.066,0.5865,5,3,2
U000098,6,2,95.18,16.61,0.6416,0.397,0.3382,0.1325,1,2,36
U000099,3,1,164.64,46.03,0.321,0.6869,0.1472,0.2294,1,1,0
U000100,10,4,368.44,34.07,0.5679,0.519,0.3993,0.0873,2,3,11
U000101,14,10,512.37,49.18,0.4909,0.6423,0.6019,0.4698,7,0,11
U000102,21,13,836.89,42.95,0.8224,0.3211,0.4527,0.507,12,10,0
U000103,6,3,104.79,22.81,0.7124,0.3926,0.501,0.1362,0,4,2
U000104,3,2,37.96,15.64,0.381,0.6214,0.2528,0.3374,1,1,9
U000105,27,20,821.46,35.28,0.7446,0.3643,0.2884,0.431,6,2,5
U000106,27,14,1639.94,63.18,0.8223,0.243,0.8564,0.3891,11,11,5
U000107,9,6,379.71,42.66,0.6377,0.4916,0.6295,0.3792,6,6,7
U000108,15,7,640.35,49.17,0.8461,0.2482,0.4869,0.5892,8,4,6
U000109,6,4,233.76,39.53,0.5284,0.5362,0.4315,0.3156,2,1,19
U000110,19,8,1022.84,57.65,0.8595,0.1254,0.5067,0.6287,14,12,1
U000111,13,6,509.5,30.42,0.5708,0.4235,0.4141,0.3227,0,6,73
U000112,15,11,245.76,19.51,0.5501,0.446,0.4938,0.3004,4,5,12
U000113,7,1,128.11,21.7,0.5316,0.5115,0.2956,0.1893,3,0,15
U000114,22,14,1160.83,59.06,0.8713,0.1715,0.8145,0.8128,10,4,3
U000115,12,8,181.81,13.31,0.6155,0.4149,0.2751,0.3528,4,0,1
U000116,6,1,219.65,34.9,0.6199,0.4341,0.483,0.2723,3,4,0
U000117,6,4,156.22,29.74,0.3693,0.6471,0.1902,0.1348,6,1,1
U000118,16,7,1138.6,56.53,0.8894,0.2888,0.7692,0.9365,5,10,0
U000119,8,3,111.53,13.75,0.5955,0.4428,0.3836,0.4721,3,2,6
U000120,11,11,317.49,28.52,0.5186,0.5255,0.0954,0.3101,5,5,25
U000121,11,6,273.38,26.42,0.639,0.3098,0.617,0.3021,3,5,1
U000122,16,12,766.46,41.49,0.7083,0.482,0.5522,0.4041,7,3,20
U000123,9,4,286.22,36.63,0.5397,0.4955,0.1786,0.2559,3,2,18
U000124,10,6,362.74,39.81,0.8717,0.2387,0.3305,0.2696,2,5,15
U000125,32,18,1649.75,47.64,0.7539,0.3808,0.8514,1.0,10,13,3
U000126,8,5,229.14,25.99,0.688,0.2773,0.3863,0.6524,9,6,6
U000127,11,8,376.11,34.02,0.6382,0.3516,0.2967,0.3385,4,1,10
U000128,5,6,221.93,38.44,0.5356,0.5273,0.419,0.0798,0,3,1
U000129,4,5,107.37,30.68,0.5076,0.5651,0.0557,0.2546,3,2,3
U000130,13,7,521.2,34.18,0.8507,0.1057,0.5599,0.5976,7,2,24
U000131,24,15,1745.13,69.06,0.9289,0.1525,0.8388,0.7185,4,7,5
U000132,17,14,742.8,39.08,0.8544,0.2023,0.6142,0.4349,9,1,1
U000133,22,18,1154.56,49.81,0.6571,0.3892,0.7045,0.291,7,2,0
U000134,6,4,209.9,37.96,0.5419,0.6157,0.5137,0.0,3,0,37
U000135,7,4,442.1,56.17,0.7371,0.3881,0.6301,0.4404,4,7,4
U000136,24,15,1110.4,42.84,0.99,0.01,0.6101,0.7183,15,1,3
U000137,18,10,952.55,65.62,0.8701,0.1166,0.6801,0.8159,11,3,1
U000138,15,11,690.17,42.53,0.5907,0.4611,0.6964,0.5472,8,6,16
U000139,6,1,131.51,19.53,0.3869,0.5983,0.5315,0.2001,2,0,3
U000140,11,6,391.43,40.7,0.7534,0.2079,0.5866,0.346,3,3,12
U000141,7,8,235.07,30.83,0.5957,0.4516,0.4275,0.3563,3,2,37
U000142,9,5,197.45,26.16,0.9861,0.0376,0.7081,0.3112,3,2,27
U000143,6,4,261.53,38.16,0.4624,0.6082,0.4088,0.1824,0,1,30
U000144,16,8,611.52,50.99,0.5685,0.4947,0.5702,0.5746,10,6,11
U000145,8,2,143.04,16.52,0.4473,0.6217,0.104,0.0,2,1,24
U000146,2,5,56.79,24.48,0.5228,0.561,0.3737,0.1579,1,1,27
U000147,12,8,312.57,31.45,0.7459,0.2807,0.5708,0.4998,5,3,12
U000148,5,1,172.98,34.55,0.3477,0.7146,0.1739,0.1042,2,0,5
U000149,10,8,382.8,33.51,0.6078,0.4509,0.4323,0.5891,11,2,3
U000150,11,9,158.74,17.55,0.4077,0.7215,0.5258,0.0672,1,2,12
U000151,21,15,704.95,34.68,0.6726,0.4162,0.7167,0.843,13,9,0
U000152,13,7,430.39,33.42,0.6991,0.3506,0.7309,0.3125,4,3,31
U000153,10,7,749.74,60.22,0.638,0.4215,0.7855,0.367,3,5,11
U000154,31,12,1690.4,45.1,0.8614,0.2377,0.9227,0.6878,8,5,3
U000155,23,10,939.71,49.4,0.9651,0.1242,0.7394,0.8877,15,13,2
U000156,8,7,458.13,57.22,0.5691,0.4614,0.4524,0.3221,6,7,0
U000157,10,3,281.8,30.71,0.447,0.5051,0.05,0.2715,2,2,11
U000158,9,6,450.48,51.39,0.6626,0.5233,0.6887,0.6614,7,4,5
U000159,9,5,348.24,33.53,0.7103,0.2781,0.4566,0.429,3,1,3
U000160,7,4,108.96,14.34,0.7702,0.2345,0.3357,0.2416,1,0,22
U000161,4,4,110.54,28.46,0.4138,0.6217,0.05,0.1954,3,0,4
U000162,31,13,1481.96,47.61,0.9255,0.1141,0.5306,0.4333,10,4,13
U000163,20,13,482.4,25.13,0.6357,0.4104,0.5371,0.4921,5,7,3
U000164,11,9,294.22,24.79,0.5906,0.4695,0.2916,0.2676,3,2,10
U000165,9,5,382.49,49.57,0.4545,0.6067,0.2628,0.3532,10,2,16
U000166,12,6,361.36,42.39,0.7659,0.3778,0.3645,0.3672,5,4,3
U000167,7,4,201.99,33.13,0.5836,0.414,0.1381,0.3827,1,2,1
U000168,18,15,879.26,46.13,0.7285,0.3728,0.6716,0.7453,9,5,3
U000169,5,1,209.63,42.33,0.736,0.303,0.4461,0.643,7,6,7
U000170,7,4,185.58,37.16,0.6336,0.3151,0.1301,0.0874,4,0,0
U000171,10,8,361.55,29.79,0.5553,0.3686,0.2946,0.1992,4,3,1
U000172,3,1,77.4,33.3,0.5192,0.6681,0.1846,0.0,1,2,11
U000173,32,15,2089.24,67.38,0.9816,0.0561,0.6413,0.4853,14,3,3
U000174,23,10,1358.06,63.6,0.8348,0.1993,0.6299,0.8171,9,4,2
U000175,28,14,2093.43,69.62,0.649,0.523,0.9781,0.6441,7,3,3
U000176,25,19,1440.13,61.76,0.6711,0.2923,0.6978,0.6963,11,6,7
U000177,16,11,982.04,62.11,0.847,0.1955,0.7251,0.6412,7,5,4
U000178,12,3,588.19,44.78,0.6848,0.3791,0.4828,0.2637,7,5,6
U000179,10,6,138.43,13.66,0.6476,0.418,0.7286,0.6356,6,3,29
U000180,11,12,472.32,38.03,0.5529,0.5046,0.3097,0.3092,2,4,47
U000181,3,1,117.92,35.24,0.6976,0.4196,0.5479,0.4422,7,1,0
U000182,35,21,1618.72,54.03,0.9109,0.1552,0.8139,0.921,8,10,5
U000183,8,10,89.15,13.92,0.6035,0.4917,0.1894,0.563,2,1,49
U000184,22,15,1303.6,59.31,0.7517,0.3309,0.7572,0.6418,24,9,7
U000185,8,6,175.4,24.06,0.4111,0.6042,0.4902,0.2771,2,0,7
U000186,21,10,1145.91,47.93,0.7176,0.3613,0.7137,0.7252,12,3,2
U000187,12,5,568.53,56.21,0.7272,0.2221,0.5293,0.6101,3,10,10
U000188,4,5,76.42,23.54,0.3413,0.7185,0.4021,0.1768,2,0,11
U000189,5,3,130.18,22.69,0.7216,0.4108,0.3682,0.3027,2,2,3
U000190,7,3,197.81,38.14,0.4913,0.6227,0.266,0.2481,3,2,8
U000191,9,5,288.19,26.03,0.8024,0.2864,0.3113,0.1711,4,2,12
U000192,34,19,1543.36,48.29,0.8219,0.2822,0.9946,0.5659,12,6,1
U000193,12,1,275.59,27.32,0.6251,0.421,0.1259,0.3948,2,2,13
U000194,7,1,368.43,44.06,0.5332,0.5085,0.4298,0.5035,1,0,3
U000195,3,3,132.78,42.71,0.3324,0.7052,0.135,0.2007,1,1,16
U000196,13,12,500.27,32.01,0.8165,0.1743,0.3484,0.6496,5,7,5
U000197,5,2,262.41,46.12,0.3759,0.6255,0.4999,0.5399,6,4,0
U000198,3,2,84.35,32.81,0.3172,0.705,0.1293,0.3395,0,3,2
U000199,18,12,886.38,47.75,0.5271,0.44,0.6065,0.447,6,5,6
U000200,11,5,219.3,19.52,0.6729,0.4413,0.4355,0.4182,4,1,11
U000201,14,11,940.99,51.88,0.7769,0.2534,0.6985,0.5543,9,8,5
U000202,27,17,1807.96,63.75,0.9172,0.2427,0.7659,0.5322,8,4,2
U000203,14,10,849.07,68.02,0.6554,0.4366,0.3822,0.5149,3,2,9
U000204,18,10,1898.79,90.72,0.8361,0.4058,0.4939,0.8063,16,5,1
U000205,14,8,700.03,54.14,0.7646,0.3581,0.6538,0.9212,14,5,8
U000206,29,18,1286.38,42.39,0.6571,0.397,0.5544,0.6209,16,6,1
U000207,6,6,129.75,21.83,0.6098,0.4358,0.4569,0.2069,2,1,5
U000208,17,13,868.48,42.24,0.8143,0.3474,0.9267,0.8192,11,4,7
U000209,16,6,947.58,66.46,0.8127,0.3838,0.6808,0.5577,20,8,8
U000210,9,5,564.97,61.72,0.8731,0.2747,0.4279,0.5054,8,4,4
U000211,13,10,488.96,33.64,0.6944,0.2329,0.4867,0.6453,4,6,33
U000212,8,5,177.45,22.64,0.4994,0.4936,0.3345,0.0697,2,2,11
U000213,5,1,72.45,14.15,0.4626,0.5857,0.2085,0.3731,3,1,36
U000214,20,7,643.27,29.89,0.6527,0.3507,0.7446,0.7294,3,3,9
U000215,12,9,379.04,33.59,0.7525,0.3677,0.2721,0.4302,5,7,30
U000216,11,2,685.63,53.04,0.6266,0.3971,0.523,0.4515,2,2,0
U000217,20,16,1203.84,55.39,0.7736,0.2801,0.8307,0.6508,9,9,2
U000218,24,17,1320.85,65.92,0.8765,0.1591,0.5273,0.3737,8,2,34
U000219,16,4,565.45,33.91,0.8077,0.2617,1.0,0.8395,11,8,1
U000220,7,4,440.62,81.27,0.7831,0.1941,0.6519,0.6619,11,7,1
U000221,9,6,262.3,30.94,0.5698,0.4463,0.3303,0.2469,6,2,16
U000222,27,14,1878.02,63.81,0.9766,0.1294,0.7893,0.8244,13,12,3
U000223,15,6,628.26,45.31,0.7019,0.3666,0.6177,0.5616,19,4,1
U000224,24,12,710.42,29.68,0.6332,0.3939,0.5616,0.5613,4,3,8
U000225,12,6,541.1,43.99,0.8598,0.1541,0.6627,0.6271,10,5,3
U000226,20,15,1469.98,58.76,0.9193,0.1856,0.9033,0.6966,5,6,4
U000227,48,30,3542.03,63.18,0.7207,0.4136,0.6988,0.9265,18,5,0
U000228,23,18,986.09,66.7,0.797,0.296,1.0,0.8972,18,3,3
U000229,11,5,322.9,26.04,0.6397,0.4321,0.8009,0.6058,9,5,5
U000230,3,4,54.19,19.41,0.6079,0.5355,0.1449,0.0941,2,1,12
U000231,7,4,210.19,27.65,0.3954,0.5401,0.05,0.2444,0,1,5
U000232,5,1,291.66,67.94,0.9098,0.183,0.5982,0.2765,8,5,22
U000233,17,14,737.23,46.13,0.6541,0.5523,0.7748,0.4095,7,3,1
U000234,5,3,130.18,20.03,0.6257,0.5072,0.4617,0.2924,5,2,18
U000235,12,13,560.77,48.27,0.4285,0.6425,0.3254,0.3158,1,5,4
U000236,27,14,1449.22,59.55,0.7907,0.2712,0.6787,0.453,9,11,1
U000237,29,14,1065.74,41.59,0.99,0.1237,0.7236,1.0,7,5,2
U000238,8,5,381.17,47.59,0.7621,0.2886,0.5745,0.375,7,5,7
U000239,8,8,252.05,28.45,0.4775,0.6473,0.2785,0.2147,4,3,14
U000240,13,6,864.09,50.54,0.96,0.1371,0.5781,0.6155,4,10,2
U000241,16,11,801.59,50.76,0.7216,0.3961,0.3227,0.7887,8,3,7
U000242,4,1,173.85,39.24,0.8039,0.2007,0.5581,0.547,4,3,9
U000243,15,10,686.51,42.07,0.5319,0.5516,0.3536,0.5142,8,6,1
U000244,4,1,65.86,17.25,0.7092,0.4159,0.4881,0.6494,5,3,28
U000245,3,1,99.63,35.8,0.5352,0.4558,0.288,0.0155,6,1,30
U000246,18,10,747.31,47.08,0.8461,0.1011,0.5994,0.5311,8,7,14
U000247,17,7,810.49,48.69,0.7384,0.3623,0.7733,0.4349,2,4,3
U000248,19,15,1009.37,49.6,0.7331,0.2588,0.7037,1.0,6,3,3
U000249,0,1,10.0,33.1,0.496,0.6233,0.1132,0.1537,3,4,16
U000250,8,6,288.58,41.29,0.7459,0.3864,0.4789,0.74,7,1,3
U000251,21,15,1307.0,60.71,0.7678,0.3393,0.8588,0.7446,13,7,3
U000252,12,9,468.02,42.83,0.3985,0.7073,0.4732,0.4647,7,2,3
U000253,4,3,54.08,20.43,0.4587,0.5766,0.3913,0.0544,2,0,4
U000254,4,2,121.8,34.21,0.4394,0.7127,0.3104,0.445,3,2,6
U000255,3,1,35.54,13.82,0.3063,0.8902,0.1117,0.375,2,2,5
U000256,6,5,385.62,40.25,0.6608,0.4354,0.2683,0.4442,4,1,14
U000257,7,2,269.58,34.71,0.6252,0.4912,0.619,0.7482,6,3,4
U000258,5,1,277.37,46.29,0.8172,0.2376,0.6725,0.8174,6,4,6
U000259,37,15,1678.8,40.32,0.947,0.0737,0.8127,0.837,3,7,2
U000260,7,7,293.61,35.46,0.4774,0.5619,0.2934,0.0164,2,1,3
U000261,9,9,202.81,17.97,0.3327,0.7921,0.3705,0.4179,5,2,7
U000262,17,13,1123.54,58.53,0.9041,0.2015,0.6106,0.5805,9,2,1
U000263,3,1,87.97,31.58,0.384,0.7554,0.2855,0.2593,1,0,18
U000264,15,10,449.46,26.12,0.8674,0.1366,0.3204,0.5089,11,3,4
U000265,24,15,1086.14,42.75,0.8192,0.2722,0.64,0.4441,26,11,0
U000266,10,4,490.69,55.2,0.7659,0.3398,0.5614,0.4661,11,1,2
U000267,8,3,211.54,36.69,0.3971,0.6589,0.2998,0.4068,1,1,14
U000268,7,5,223.29,27.83,0.6029,0.3898,0.6034,0.3017,3,0,1
U000269,24,15,1620.26,59.51,0.8869,0.1504,0.554,0.2792,5,6,41
U000270,4,2,134.43,28.91,0.5272,0.533,0.2234,0.3195,3,0,1
U000271,7,1,235.86,32.69,0.3464,0.7552,0.2339,0.498,0,0,11
U000272,4,3,56.45,15.45,0.558,0.543,0.2705,0.187,4,1,6
U000273,5,3,57.91,12.81,0.5334,0.5387,0.5381,0.2441,2,0,49
U000274,19,11,1360.28,63.62,0.6021,0.5029,0.4807,0.4619,3,3,5
U000275,5,1,256.46,46.74,0.4792,0.5548,0.2378,0.3829,3,0,0
U000276,8,5,346.31,39.79,0.529,0.5363,0.407,0.3269,1,3,17
U000277,7,4,126.85,16.88,0.6395,0.3098,0.6019,0.4509,3,2,0
U000278,16,9,598.6,50.76,0.8813,0.3507,0.7985,1.0,12,7,1
U000279,9,1,158.33,24.15,0.6878,0.3942,0.4728,0.3797,1,1,4
U000280,3,1,106.64,38.59,0.4568,0.6545,0.2011,0.1277,4,0,15
U000281,14,6,621.79,42.16,0.7467,0.1465,0.5503,0.62,3,3,2
U000282,5,1,201.67,38.42,0.248,0.7712,0.3183,0.1862,3,0,2
U000283,27,22,1454.59,47.97,0.6439,0.3594,0.4931,0.4361,4,2,6
U000284,24,13,1077.39,54.16,0.5998,0.5072,0.8686,0.4858,6,6,4
U000285,29,16,1099.29,68.65,0.793,0.1449,0.5936,0.7551,13,10,2
U000286,17,3,666.1,42.59,0.5134,0.5323,0.2624,0.4175,1,4,12
U000287,7,9,246.02,37.36,0.6097,0.5064,0.2274,0.3482,5,2,5
U000288,17,9,521.94,27.23,0.8846,0.1077,0.8056,0.594,5,4,3
U000289,5,1,165.48,40.54,0.6154,0.5818,0.2285,0.3799,4,1,2
U000290,19,11,1041.93,65.17,0.6758,0.2992,0.625,0.4756,3,5,10
U000291,10,5,721.46,59.58,0.9157,0.2812,0.4958,0.3482,4,5,4
U000292,6,4,89.17,18.0,0.5145,0.4456,0.0519,0.0971,2,0,2
U000293,5,2,183.34,43.42,0.6567,0.4942,0.2438,0.3316,5,0,6
U000294,10,8,453.3,39.79,0.3455,0.7074,0.1768,0.1745,6,2,15
U000295,10,5,329.6,33.9,0.5617,0.5452,0.4532,0.3458,6,1,11
U000296,5,1,23.76,5.0,0.3524,0.7019,0.344,0.2707,3,0,7
U000297,16,12,926.78,47.82,0.8307,0.3196,0.5317,0.3266,5,2,1
U000298,12,9,458.74,32.31,0.8787,0.1598,0.6788,0.6629,12,0,5
U000299,17,7,1086.92,64.21,0.9305,0.1548,0.6649,0.6355,13,9,4
U000300,9,7,372.65,36.14,0.6546,0.4255,0.3464,0.0673,0,1,5
U000301,18,11,790.58,38.83,0.6641,0.5045,0.4279,0.3299,4,3,25
U000302,6,1,104.39,19.0,0.6612,0.4152,0.3094,0.4809,2,1,0
U000303,21,16,622.84,33.51,0.7392,0.3326,0.5762,0.5308,11,4,3
U000304,30,16,1409.42,55.06,0.6512,0.4314,0.7373,0.8058,10,3,1
U000305,8,6,278.19,41.63,0.4362,0.6206,0.5912,0.5655,5,1,15
U000306,4,1,63.07,13.85,0.4358,0.7796,0.1566,0.1069,2,0,7
U000307,17,7,552.31,34.2,0.6421,0.3717,0.2697,0.4447,8,2,3
U000308,16,10,526.68,44.63,0.5753,0.5113,0.7563,0.7815,12,5,2
U000309,10,8,600.19,51.51,0.6662,0.4406,0.6273,0.6217,9,6,37
U000310,16,7,621.44,44.68,0.7948,0.2761,0.6337,0.614,5,7,7
U000311,14,7,815.22,73.79,0.6223,0.496,0.5864,0.5413,7,4,1
U000312,12,6,482.38,41.57,0.6895,0.2709,0.8358,0.5815,6,3,7
U000313,5,4,143.02,22.75,0.6534,0.4553,0.2385,0.3655,9,2,4
U000314,12,9,889.85,66.03,0.6437,0.5132,0.8837,0.3683,12,2,3
U000315,19,10,687.2,32.57,0.8956,0.1659,0.7364,0.399,9,5,6
U000316,48,25,2251.62,41.39,0.773,0.3095,0.7054,0.7735,7,6,9
U000317,6,6,229.64,37.2,0.4243,0.6328,0.2496,0.1121,3,1,0
U000318,17,12,949.61,51.67,0.6902,0.4551,0.5506,0.391,4,3,7
U000319,13,9,508.6,39.4,0.6038,0.5051,0.4398,0.4187,6,5,2
U000320,26,19,1565.66,60.26,0.8745,0.1497,0.8665,0.9864,12,4,2
U000321,6,1,224.46,33.93,0.5366,0.5494,0.2743,0.4932,1,1,11
U000322,4,1,101.82,18.37,0.356,0.6858,0.3002,0.2717,2,0,13
U000323,18,9,1158.97,62.82,0.6438,0.5026,0.5017,0.5405,15,4,0
U000324,29,11,1741.71,70.74,0.8282,0.211,0.8776,1.0,10,5,9
U000325,20,12,1026.02,60.12,0.8914,0.1621,0.901,0.5694,12,7,2
U000326,6,1,106.29,23.93,0.4921,0.5194,0.361,0.3181,3,2,4
U000327,0,1,10.0,29.75,0.6008,0.4142,0.181,0.0,1,0,16
U000328,12,7,331.75,35.96,0.6438,0.5326,0.4834,0.5574,5,4,1
U000329,22,16,937.46,52.03,0.7782,0.3164,0.4273,0.5059,6,2,16
