user_id,churn_probability,will_churn_30d,churn_date
U000129,0.471772,1,2025-07-13
U000130,0.007048,0,
U000131,0.00084,0,
U000132,0.002811,0,
U000133,0.010274,0,
U000134,0.775125,1,2025-07-20
U000135,0.014225,0,
U000136,0.000182,0,
U000137,0.0009,0,
U000138,0.0116,0,
U000139,0.41113,0,
U000140,0.029896,0,
U000141,0.324811,0,
U000142,0.027733,0,
U000143,0.648492,1,2025-07-04
U000144,0.018787,0,
U000145,0.675144,1,2025-07-06
U000146,0.83316,1,2025-07-23
U000147,0.004194,0,
U000148,0.63562,1,2025-07-27
U000149,0.010092,0,
U000150,0.206864,0,
U000151,0.000937,0,
U000152,0.055547,0,
U000153,0.016178,0,
U000154,0.000316,0,
U000155,0.000265,0,
U000156,0.018356,0,
U000157,0.265476,0,
U000158,0.016553,0,
U000159,0.012355,0,
U000160,0.383374,0,
U000161,0.452815,1,2025-07-05
U000162,0.000257,0,
U000163,0.005074,0,
U000164,0.107819,0,
U000165,0.462152,0,
U000166,0.009524,0,
U000167,0.09303,0,
U000168,0.001367,0,
U000169,0.075088,0,
U000170,0.06434,0,
U000171,0.058256,0,
U000172,0.731461,1,2025-07-11
U000173,0.000172,0,
U000174,0.000615,0,
U000175,0.001489,0,
U000176,0.002331,0,
U000177,0.000685,0,
U000178,0.019102,0,
U000179,0.045832,0,
U000180,0.416346,1,2025-07-30
U000181,0.049743,0,
U000182,0.000134,0,
U000183,0.574123,1,2025-07-30
U000184,0.000523,0,
U000185,0.305061,1,2025-07-04
U000186,0.000989,0,
U000187,0.010304,0,
U000188,0.737414,1,2025-07-02
U000189,0.118337,1,2025-07-23
U000190,0.251992,0,
U000191,0.063215,0,
U000192,0.000301,0,
U000193,0.101124,0,
U000194,0.26228,1,2025-07-29
U000195,0.779679,1,2025-07-20
U000196,0.002114,0,
U000197,0.175886,0,
U000198,0.715316,1,2025-07-26
U000199,0.012406,0,
U000200,0.08967,0,
U000201,0.001812,0,
U000202,0.000516,0,
U000203,0.006532,0,
U000204,0.001549,0,
U000205,0.001533,0,
U000206,0.001263,0,
U000207,0.199832,0,
U000208,0.000457,0,
U000209,0.002268,0,
U000210,0.011093,0,
U000211,0.034498,0,
U000212,0.44405,0,
U000213,0.858153,1,2025-07-08
U000214,0.008653,0,
U000215,0.016466,0,
U000216,0.034974,0,
U000217,0.000767,0,
U000218,0.006832,0,
U000219,0.000817,0,
U000220,0.003872,0,
U000221,0.169767,0,
U000222,0.000304,0,
U000223,0.004009,0,
U000224,0.005369,0,
U000225,0.00241,0,
U000226,0.000753,0,
U000227,0.000237,0,
U000228,0.000445,0,
U000229,0.018955,0,
U000230,0.756923,1,2025-07-14
U000231,0.201815,1,2025-07-18
U000232,0.10518,0,
U000233,0.008113,0,
U000234,0.309651,1,2025-07-27
U000235,0.076425,0,
U000236,0.000336,0,
U000237,0.000521,0,
U000238,0.019367,0,
U000239,0.257914,0,
U000240,0.001377,0,
U000241,0.003008,0,
U000242,0.053006,0,
U000243,0.011455,0,
U000244,0.201749,0,
U000245,0.683776,1,2025-07-25
U000246,0.002637,0,
U000247,0.004329,0,
U000248,0.001598,0,
U000249,0.976062,1,2025-07-15
U000250,0.006105,0,
U000251,0.000504,0,
U000252,0.016268,0,
U000253,0.558579,1,2025-07-15
U000254,0.277657,0,
U000255,0.949081,1,2025-07-06
U000256,0.084355,0,
U000257,0.027199,0,
U000258,0.048244,0,
U000259,0.000154,0,
U000260,0.12697,0,
U000261,0.138195,0,
U000262,0.001132,0,
U000263,0.864031,1,2025-07-14
U000264,0.003003,0,
U000265,0.000656,0,
U000266,0.01252,0,
U000267,0.591926,0,
U000268,0.12309,1,2025-07-14
U000269,0.0226,0,
U000270,0.573633,0,
U000271,0.557309,0,
U000272,0.542043,0,
U000273,0.949184,1,2025-07-06
U000274,0.00478,0,
U000275,0.265365,0,
U000276,0.135371,0,
U000277,0.068889,0,
U000278,0.000774,0,
U000279,0.119434,0,
U000280,0.728339,1,2025-07-19
U000281,0.006957,0,
U000282,0.556375,0,
U000283,0.005276,0,
U000284,0.002433,0,
U000285,0.000418,0,
U000286,0.086876,0,
U000287,0.120513,0,
U000288,0.001342,0,
U000289,0.1957,0,
U000290,0.004503,0,
U000291,0.016673,0,
U000292,0.378491,1,2025-07-22
U000293,0.146861,0,
U000294,0.258518,0,
U000295,0.136511,0,
U000296,0.668952,1,2025-07-30
U000297,0.00666,0,
U000298,0.005489,0,
U000299,0.001241,0,
U000300,0.130905,0,
U000301,0.049413,0,
U000302,0.145267,0,
U000303,0.002549,0,
U000304,0.001534,0,
U000305,0.208419,1,2025-07-09
U000306,0.833678,1,2025-07-29
U000307,0.009668,0,
U000308,0.00275,0,
U000309,0.049838,0,
U000310,0.002968,0,
U000311,0.006873,0,
U000312,0.006959,0,
U000313,0.095788,0,
U000314,0.009763,0,
U000315,0.002696,0,
U000316,0.000271,0,
U000317,0.39047,1,2025-07-26
U000318,0.006831,0,
U000319,0.019941,0,
U000320,0.00023,0,
U000321,0.426858,0,
U000322,0.847693,0,
U000323,0.003045,0,
U000324,0.000522,0,
U000325,0.000395,0,
U000326,0.26856,1,2025-07-15
U000327,0.966825,1,2025-07-17
U000328,0.01017,0,
U000329,0.004185,0,
U000330,0.134594,0,
U000331,0.126263,0,
U000332,0.01049,0,
U000333,0.000662,0,
U000334,0.017062,0,
U000335,0.5433,1,2025-07-24
U000336,0.345947,0,
U000337,0.22747,1,2025-07-14
U000338,0.252984,0,
U000339,0.003371,0,
U000340,0.016125,0,
U000341,0.0004,0,
U000342,0.762805,1,2025-07-10
U000343,0.142146,1,2025-07-27
U000344,0.005278,0,
U000345,0.001226,0,
U000346,0.043062,0,
U000347,0.264607,0,
U000348,0.284875,0,
U000349,0.033332,0,
U000350,0.380519,1,2025-07-10
U000351,0.753537,1,2025-07-10
U000352,0.204114,0,
U000353,0.270815,0,
U000354,0.66707,1,2025-07-02
U000355,0.863085,0,
U000356,0.700365,0,
U000357,0.005754,0,
U000358,0.026244,0,
U000359,0.453246,0,
U000360,0.190314,1,2025-07-02
U000361,0.000157,0,
U000362,0.002481,0,
U000363,0.562186,0,
U000364,0.746423,1,2025-07-23
U000365,0.121615,0,
U000366,0.006175,0,
U000367,0.155976,0,
U000368,0.251033,1,2025-07-12
U000369,0.014013,0,
U000370,0.000925,0,
U000371,0.796599,1,2025-07-02
U000372,0.00023,0,
U000373,0.3536,1,2025-07-08
U000374,0.255336,0,
U000375,0.039546,0,
U000376,0.002484,0,
U000377,0.082144,0,
U000378,0.003788,0,
U000379,0.998527,1,2025-07-30
U000380,0.012139,0,
U000381,0.060805,0,
U000382,0.039253,0,
U000383,0.000432,0,
U000384,0.129613,0,
U000385,0.264034,0,
U000386,0.001207,0,
U000387,0.000516,0,
U000388,0.015082,0,
U000389,0.42118,1,2025-07-20
U000390,0.116138,0,
U000391,0.01258,0,
U000392,0.515487,1,2025-07-26
U000393,0.005881,0,
U000394,0.013082,0,
U000395,0.00282,0,
U000396,0.007223,0,
U000397,0.016121,0,
U000398,0.118362,0,
U000399,0.000859,0,
U000400,0.132673,0,
U000401,0.005877,0,
U000402,0.0665,0,
U000403,6.5e-05,0,
U000404,0.09393,0,
U000405,0.196306,0,
U000406,0.016443,0,
U000407,0.001919,0,
U000408,0.00352,0,
U000409,0.567936,0,
U000410,0.003258,0,
U000411,0.170446,0,
U000412,0.013643,0,
U000413,0.003566,0,
U000414,0.404372,1,2025-07-18
U000415,0.010679,0,
U000416,0.000216,0,
U000417,0.539528,1,2025-07-20
U000418,0.002796,0,
U000419,0.006664,0,
U000420,0.005943,0,
U000421,0.003762,0,
U000422,0.098038,0,
U000423,0.001981,0,
U000424,0.107707,1,2025-07-23
U000425,0.167879,0,
U000426,0.813774,1,2025-07-20
U000427,0.790949,1,2025-07-21
U000428,0.636633,1,2025-07-29
U000429,0.093932,0,
U000430,0.038394,0,
U000431,0.004939,0,
U000432,0.095185,0,
U000433,0.006662,0,
U000434,0.453075,1,2025-07-04
U000435,0.001679,0,
U000436,0.53254,1,2025-07-16
U000437,0.001807,0,
U000438,0.509275,0,
U000439,0.001228,0,
U000440,0.003856,0,
U000441,0.670963,0,
U000442,0.440652,1,2025-07-27
U000443,0.127776,1,2025-07-07
U000444,0.153527,0,
U000445,0.007913,0,
U000446,0.775948,1,2025-07-26
U000447,0.003991,0,
U000448,0.011616,0,
U000449,0.002819,0,
U000450,0.001266,0,
U000451,0.044177,0,
U000452,0.029931,0,
U000453,0.000656,0,
U000454,0.799593,0,
U000455,0.008231,0,
U000456,0.000408,0,
U000457,0.64736,1,2025-07-15
U000458,0.00066,0,
U000459,0.001373,0,
U000460,0.098809,0,
U000461,0.000565,0,
U000462,0.000744,0,
U000463,0.11909,0,
U000464,0.002347,0,
U000465,0.760972,1,2025-07-31
U000466,0.259697,0,
U000467,0.001451,0,
U000468,0.013252,0,
U000469,0.00191,0,
U000470,0.036277,0,
U000471,8.6e-05,0,
U000472,0.802836,1,2025-07-11
U000473,0.007066,0,
U000474,0.356683,1,2025-07-28
U000475,0.000277,0,
U000476,0.018282,0,
U000477,0.110411,0,
U000478,0.185623,0,
U000479,0.368091,0,
U000480,0.000762,0,
U000481,0.00019,0,
U000482,0.02488,0,
U000483,0.026263,0,
U000484,0.580983,1,2025-07-07
U000485,0.959267,0,
U000486,0.792182,1,2025-07-19
U000487,0.00055,0,
U000488,0.028685,0,
U000489,0.022216,0,
U000490,0.026075,0,
U000491,0.189185,0,
U000492,0.037449,0,
U000493,0.008748,0,
U000494,0.949781,1,2025-07-09
U000495,0.004897,0,
U000496,0.702203,1,2025-07-18
U000497,0.011349,0,
U000498,0.000661,0,
U000499,0.006782,0,
U000500,0.000486,0,
U000501,0.003991,0,
U000502,0.000349,0,
U000503,0.152804,0,
U000504,0.909757,1,2025-07-22
U000505,0.010312,0,
U000506,0.0002,0,
U000507,0.026025,0,
U000508,0.223616,0,
U000509,0.352581,0,
U000510,0.000368,0,
U000511,0.023091,0,
U000512,0.002888,0,
U000513,0.009291,0,
U000514,0.000545,0,
U000515,0.880902,1,2025-07-15
U000516,0.000147,0,
U000517,0.007561,0,
U000518,0.000264,0,
U000519,0.067058,0,
U000520,0.073749,0,
U000521,0.12295,0,
U000522,0.043428,0,
U000523,0.52203,1,2025-07-24
U000524,0.001327,0,
U000525,0.671134,1,2025-07-03
U000526,0.001085,0,
U000527,0.000544,0,
U000528,0.388792,0,
U000529,0.666636,1,2025-07-22
U000530,0.013946,0,
U000531,0.916809,1,2025-07-25
U000532,0.032826,0,
U000533,0.017332,0,
U000534,0.834193,1,2025-07-22
U000535,0.09713,0,
U000536,0.016689,0,
U000537,0.135955,0,
U000538,0.031174,0,
U000539,0.000663,0,
U000540,0.763641,1,2025-07-26
U000541,0.006361,0,
U000542,0.135936,1,2025-07-02
U000543,0.046646,0,
U000544,0.743152,0,
U000545,0.100184,0,
U000546,0.787005,1,2025-07-13
U000547,0.301718,0,
U000548,0.115914,0,
U000549,0.001742,0,
U000550,0.130354,0,
U000551,0.000696,0,
U000552,0.032663,0,
U000553,0.001191,0,
U000554,0.043187,0,
U000555,0.271236,0,
U000556,0.029732,0,
U000557,0.008257,0,
U000558,0.176354,0,
U000559,0.000241,0,
U000560,0.200795,1,2025-07-11
U000561,0.006805,0,
U000562,0.000161,0,
U000563,0.000251,0,
U000564,0.266364,0,
U000565,0.018699,0,
U000566,0.315558,0,
U000567,0.002851,0,
U000568,0.000234,0,
U000569,0.765748,0,
U000570,0.000183,0,
U000571,0.001354,0,
U000572,0.013241,0,
U000573,0.901543,1,2025-07-29
U000574,0.181191,0,
U000575,0.000474,0,
U000576,0.738283,1,2025-07-15
U000577,0.222669,0,
U000578,0.176051,0,
U000579,0.413302,0,
U000580,0.189137,0,
U000581,0.012911,0,
U000582,0.018967,0,
U000583,0.181464,0,
U000584,0.141478,0,
U000585,0.586238,1,2025-07-05
U000586,0.683141,1,2025-07-21
U000587,0.011212,0,
U000588,0.004438,0,
U000589,0.17323,0,
U000590,0.005942,0,
U000591,0.063438,0,
U000592,0.490955,0,
U000593,0.000219,0,
U000594,0.227345,0,
U000595,0.228789,0,
U000596,0.89222,1,2025-07-24
U000597,0.022479,0,
U000598,0.080068,0,
U000599,0.016223,0,
U000600,0.036005,0,
U000601,0.000466,0,
U000602,0.879883,1,2025-07-30
U000603,0.970408,1,2025-07-15
U000604,0.002427,0,
U000605,0.037188,1,2025-07-10
U000606,0.001845,0,
U000607,0.544027,1,2025-07-31
U000608,0.006397,0,
U000609,0.068676,0,
U000610,0.001128,0,
U000611,0.13512,0,
U000612,0.034983,0,
U000613,0.487283,1,2025-07-09
U000614,0.279618,0,
U000615,0.007971,0,
U000616,0.007839,0,
U000617,0.953373,1,2025-07-13
U000618,0.197171,1,2025-07-21
U000619,0.003459,0,
U000620,0.008074,0,
U000621,0.020794,0,
U000622,0.352086,1,2025-07-24
U000623,0.091581,0,
U000624,0.000626,0,
U000625,0.565938,1,2025-07-12
U000626,0.081298,0,
U000627,0.05496,0,
U000628,9.8e-05,0,
U000629,0.008073,0,
U000630,0.01057,0,
U000631,0.000256,0,
U000632,0.0197,0,
U000633,0.000566,0,
U000634,0.000596,0,
U000635,0.056274,0,
U000636,0.241302,1,2025-07-13
U000637,0.691614,1,2025-07-16
U000638,0.000147,0,
U000639,0.063238,0,
U000640,0.005837,0,
U000641,0.138442,0,
U000642,0.25581,0,
U000643,0.046174,0,
U000644,0.295893,1,2025-07-08
U000645,0.009602,0,
U000646,0.043605,0,
U000647,0.000221,0,
U000648,0.004031,0,
U000649,0.001018,0,
U000650,0.350166,1,2025-07-09
U000651,0.003826,0,
U000652,0.076958,0,
U000653,0.017849,0,
U000654,0.009119,0,
U000655,0.0148,0,
U000656,0.159758,0,
U000657,0.308796,0,
U000658,0.000454,0,
U000659,0.363882,0,
U000660,0.106665,1,2025-07-03
U000661,0.000471,0,
U000662,0.035581,0,
U000663,0.0006,0,
U000664,0.007064,0,
U000665,0.170589,0,
U000666,0.003071,0,
U000667,0.349049,0,
U000668,0.077538,0,
U000669,0.399878,0,
U000670,0.362275,0,
U000671,0.9868,1,2025-07-14
U000672,0.076705,0,
U000673,0.001816,0,
U000674,0.008829,0,
U000675,0.880959,1,2025-07-26
U000676,0.000881,0,
U000677,0.197943,0,
U000678,0.067483,0,
U000679,0.02167,0,
U000680,0.400888,1,2025-07-28
U000681,0.105651,0,
U000682,0.00164,0,
U000683,0.227326,0,
U000684,0.01094,0,
U000685,8.8e-05,0,
U000686,7.3e-05,0,
U000687,0.000308,0,
U000688,0.549961,1,2025-07-05
U000689,0.185943,0,
U000690,0.060305,1,2025-07-08
U000691,0.000185,0,
U000692,0.005196,0,
U000693,0.146646,0,
U000694,0.367753,1,2025-07-16
U000695,0.073313,0,
U000696,0.000933,0,
U000697,0.499561,0,
U000698,0.597467,1,2025-07-25
U000699,0.001268,0,
U000700,0.474413,0,
U000701,0.000485,0,
U000702,0.001686,0,
U000703,0.574682,1,2025-07-03
U000704,0.165909,0,
U000705,0.004814,0,
U000706,0.583122,0,
U000707,0.352023,0,
U000708,0.000223,0,
U000709,0.576604,0,
U000710,0.350792,0,
U000711,0.045917,0,
U000712,0.33498,1,2025-07-25
U000713,0.040898,0,
U000714,0.000343,0,
U000715,0.002888,0,
U000716,0.40631,0,
U000717,0.65441,1,2025-07-10
U000718,0.001647,0,
U000719,0.000454,0,
U000720,0.146721,0,
U000721,0.00079,0,
U000722,0.00055,0,
U000723,0.140676,0,
U000724,0.440725,1,2025-07-28
U000725,0.869757,1,2025-07-24
U000726,0.06948,0,
U000727,0.011956,0,
U000728,0.719849,1,2025-07-05
U000729,0.008619,0,
U000730,0.004279,0,
U000731,0.865649,1,2025-07-05
U000732,0.049767,0,
U000733,0.995481,1,2025-07-18
U000734,0.000914,0,
U000735,0.272131,0,
U000736,0.165101,1,2025-07-21
U000737,0.111543,0,
U000738,0.167694,1,2025-07-09
U000739,0.015558,0,
U000740,0.073914,0,
U000741,0.02642,0,
U000742,0.04734,0,
U000743,0.621499,1,2025-07-11
U000744,0.285781,1,2025-07-28
U000745,0.003016,0,
U000746,0.001295,0,
U000747,0.675952,0,
U000748,0.800664,1,2025-07-17
U000749,0.179773,1,2025-07-29
U000750,0.000508,0,
U000751,0.062726,0,
U000752,0.380066,0,
U000753,0.215525,0,
U000754,0.000318,0,
U000755,0.532723,0,
U000756,0.000222,0,
U000757,0.113305,0,
U000758,0.005077,0,
U000759,0.000177,0,
U000760,0.000322,0,
U000761,0.602231,1,2025-07-03
U000762,0.042725,0,
U000763,0.445447,1,2025-07-04
U000764,0.007958,0,
U000765,0.020615,0,
U000766,0.003677,0,
U000767,0.232787,0,
U000768,0.017003,0,
U000769,0.130245,0,
U000770,0.2891,1,2025-07-30
U000771,0.53996,1,2025-07-21
U000772,0.04135,0,
U000773,0.019662,0,
U000774,0.018368,0,
U000775,0.000194,0,
U000776,0.485792,0,
U000777,0.011778,0,
U000778,0.093251,0,
U000779,0.000554,0,
U000780,0.422494,0,
U000781,0.339587,0,
U000782,0.004962,0,
U000783,0.540492,0,
U000784,0.00716,0,
U000785,0.153067,1,2025-07-02
U000786,0.804244,1,2025-07-14
U000787,0.235108,0,
U000788,0.599218,0,
U000789,0.137512,1,2025-07-04
U000790,0.642487,1,2025-07-02
U000791,0.037757,0,
U000792,0.000182,0,
U000793,0.000316,0,
U000794,0.091641,0,
U000795,0.243162,0,
U000796,0.046696,0,
U000797,0.942472,1,2025-07-30
U000798,0.347906,0,
U000799,0.006896,0,
U000800,0.135205,0,
U000801,0.854016,1,2025-07-06
U000802,0.06447,0,
U000803,0.242748,0,
U000804,0.015809,0,
U000805,0.313014,0,
U000806,0.019541,0,
U000807,0.915669,1,2025-07-09
U000808,0.000519,0,
U000809,0.373895,1,2025-07-17
U000810,0.008988,0,
U000811,0.000595,0,
U000812,0.070856,0,
U000813,0.072584,0,
U000814,0.015449,0,
U000815,0.184579,0,
U000816,0.022414,0,
U000817,0.009776,0,
U000818,0.035649,0,
U000819,0.008816,0,
U000820,0.35561,0,
U000821,0.603783,1,2025-07-10
U000822,0.238002,1,2025-07-16
U000823,0.000332,0,
U000824,0.007925,0,
U000825,0.000417,0,
U000826,0.055965,0,
U000827,0.017383,0,
U000828,0.01035,0,
U000829,0.786639,1,2025-07-17
U000830,0.866676,0,
U000831,0.002509,0,
U000832,0.002448,0,
U000833,0.460068,0,
U000834,0.042866,0,
U000835,0.001536,0,
U000836,0.184437,0,
U000837,0.024687,0,
U000838,0.048016,0,
U000839,0.001687,0,
U000840,0.008697,0,
U000841,0.019194,0,
U000842,0.012785,0,
U000843,0.176751,1,2025-07-25
U000844,0.070231,0,
U000845,0.383834,0,
U000846,0.695049,1,2025-07-20
U000847,0.026871,0,
U000848,0.002296,0,
U000849,0.231639,1,2025-07-02
U000850,0.525697,1,2025-07-14
U000851,0.542461,0,
U000852,0.000944,0,
U000853,0.004673,0,
U000854,0.000257,0,
U000855,0.115724,0,
U000856,0.034524,0,
U000857,0.008693,0,
U000858,0.1501,1,2025-07-14
U000859,0.002176,0,
U000860,0.045988,0,
U000861,0.000484,0,
U000862,0.432702,1,2025-07-28
U000863,0.197705,0,
U000864,0.575518,0,
U000865,0.007517,0,
U000866,0.764158,1,2025-07-09
U000867,0.290439,0,
U000868,0.00039,0,
U000869,0.00398,0,
U000870,0.153537,0,
U000871,0.0079,0,
U000872,0.000305,0,
U000873,0.002991,0,
U000874,0.000194,0,
U000875,0.008234,0,
U000876,0.101596,1,2025-07-25
U000877,6.8e-05,0,
U000878,0.046746,0,
U000879,0.031194,0,
U000880,0.006787,0,
U000881,0.003451,0,
U000882,0.215349,0,
U000883,0.596033,1,2025-07-18
U000884,0.010527,0,
U000885,0.000804,0,
U000886,0.025542,0,
U000887,0.002333,0,
U000888,0.739809,0,
U000889,0.000886,0,
U000890,0.435082,1,2025-07-07
U000891,0.09678,0,
U000892,0.005461,0,
U000893,0.244713,0,
U000894,0.000437,0,
U000895,0.165838,0,
U000896,0.000687,0,
U000897,0.884745,1,2025-07-05
U000898,0.02143,0,
U000899,0.000233,0,
U000900,0.813564,1,2025-07-21
U000901,0.00035,0,
U000902,0.000807,0,
U000903,0.134388,1,2025-07-24
U000904,0.005683,0,
U000905,0.23839,1,2025-07-05
U000906,0.144614,0,
U000907,0.592334,0,
U000908,0.026261,0,
U000909,0.00069,0,
U000910,0.249585,0,
U000911,0.001766,0,
U000912,0.083739,0,
U000913,0.037574,0,
U000914,0.003694,0,
U000915,0.151913,1,2025-07-31
U000916,0.0203,0,
U000917,0.029219,0,
U000918,0.814961,1,2025-07-25
U000919,0.007929,0,
U000920,0.019926,0,
U000921,0.000148,0,
U000922,0.088707,0,
U000923,0.007667,0,
U000924,0.260915,0,
U000925,0.001722,0,
U000926,0.781054,1,2025-07-02
U000927,0.889229,0,
U000928,0.3216,0,
U000929,0.000405,0,
U000930,0.500381,0,
U000931,0.002433,0,
U000932,0.011476,0,
U000933,0.016117,0,
U000934,0.019531,0,
U000935,0.311886,0,
U000936,0.029049,0,
U000937,0.007579,0,
U000938,0.081471,0,
U000939,0.107756,0,
U000940,0.009588,0,
U000941,0.097614,0,
U000942,0.000351,0,
U000943,0.213212,1,2025-07-10
U000944,0.000279,0,
U000945,0.150121,1,2025-07-30
U000946,9.6e-05,0,
U000947,0.602533,1,2025-07-10
U000948,0.005139,0,
U000949,0.134108,1,2025-07-10
U000950,0.003699,0,
U000951,0.022144,0,
U000952,0.005215,0,
U000953,9.4e-05,0,
U000954,0.008629,0,
U000955,0.037625,0,
U000956,0.023904,0,
U000957,0.000678,0,
U000958,0.068403,0,
U000959,0.014634,0,
U000960,0.001298,0,
U000961,0.000163,0,
U000962,0.0052,0,
U000963,0.007266,0,
U000964,0.499116,0,
U000965,0.019235,0,
U000966,0.276447,0,
U000967,0.007152,0,
U000968,0.764733,0,
U000969,0.411881,1,2025-07-22
U000970,0.016538,0,
U000971,0.000361,0,
U000972,0.003911,0,
U000973,0.357011,1,2025-07-20
U000974,0.234643,0,
U000975,0.002884,0,
U000976,0.441377,0,
U000977,0.001597,0,
U000978,0.000334,0,
U000979,0.338783,0,
U000980,0.008402,0,
U000981,0.003537,0,
U000982,0.63509,1,2025-07-16
U000983,0.005879,0,
U000984,0.007005,0,
U000985,0.004081,0,
U000986,0.000344,0,
U000987,0.015594,0,
U000988,0.231309,0,
U000989,0.011226,0,
U000990,0.001359,0,
U000991,0.213307,0,
U000992,0.554626,0,
U000993,0.429859,0,
U000994,0.13611,0,
U000995,0.005421,0,
U000996,0.417287,1,2025-07-21
U000997,0.887763,0,
U000998,0.15241,0,
U000999,0.355676,0,
U001000,0.004733,0,
U001001,0.00019,0,
U001002,0.032545,0,
U001003,0.001699,0,
U001004,0.000625,0,
U001005,0.002465,0,
U001006,0.099473,0,
U001007,0.287115,0,
U001008,0.133242,0,
U001009,0.708539,1,2025-07-04
U001010,0.53077,1,2025-07-07
U001011,0.123568,0,
U001012,0.000322,0,
U001013,0.023919,0,
U001014,0.000395,0,
U001015,0.000555,0,
U001016,0.001043,0,
U001017,0.27364,0,
U001018,0.219372,1,2025-07-14
U001019,0.967141,1,2025-07-08
U001020,0.272119,0,
U001021,0.351144,1,2025-07-07
U001022,0.000165,0,
U001023,0.745187,1,2025-07-22
U001024,0.442016,0,
U001025,0.766512,1,2025-07-17
U001026,0.003167,0,
U001027,0.001944,0,
U001028,0.268086,0,
U001029,0.000659,0,
U001030,0.00631,0,
U001031,0.029577,0,
U001032,0.00037,0,
U001033,0.001503,0,
U001034,0.526071,1,2025-07-21
U001035,0.245201,0,
U001036,0.45063,1,2025-07-31
U001037,0.007685,0,
U001038,0.008817,0,
U001039,0.004875,0,
U001040,0.005621,0,
U001041,0.000277,0,
U001042,0.086834,0,
U001043,0.469723,0,
U001044,0.005938,0,
U001045,0.025185,0,
U001046,0.01039,0,
U001047,0.001689,0,
U001048,0.003765,0,
U001049,0.013684,1,2025-07-09
U001050,0.007753,0,
U001051,0.01249,0,
U001052,0.797724,1,2025-07-26
U001053,0.002728,0,
U001054,0.000422,0,
U001055,0.000176,0,
U001056,0.000762,0,
U001057,0.057377,0,
U001058,0.628054,1,2025-07-02
U001059,0.639047,1,2025-07-17
U001060,0.315159,1,2025-07-23
U001061,0.009807,0,
U001062,0.011504,0,
U001063,0.008653,0,
